timestamp_utc,ticker,floor_strike,yes_bid,yes_ask,last_price,volume,open_time,close_time
2026-09-15T00:02:08.643+00:00,KXBTC15M-26SEP142015-15,78179.05,0.6600,0.6700,0.6700,475822.95,2026-09-15T00:00:00Z,2026-09-15T00:15:00Z
2026-09-15T00:02:10.857+00:00,KXBTC15M-26SEP142015-15,78179.05,0.6600,0.6700,0.6700,475822.95,2026-09-15T00:00:00Z,2026-09-15T00:15:00Z
2026-09-15T00:02:12.995+00:00,KXBTC15M-26SEP142015-15,78179.05,0.6600,0.6700,0.6700,475822.95,2026-09-15T00:00:00Z,2026-09-15T00:15:00Z
2026-09-15T00:02:15.193+00:00,KXBTC15M-26SEP142015-15,78179.05,0.6800,0.6900,0.6800,494008.60,2026-09-15T00:00:00Z,2026-09-15T00:15:00Z
2026-09-15T00:02:17.331+00:00,KXBTC15M-26SEP142015-15,78179.05,0.6800,0.6900,0.6800,494008.60,2026-09-15T00:00:00Z,2026-09-15T00:15:00Z
2026-09-15T00:02:19.480+00:00,KXBTC15M-26SEP142015-15,78179.05,0.6800,0.6900,0.6800,494008.60,2026-09-15T00:00:00Z,2026-09-15T00:15:00Z
2026-09-15T00:02:21.623+00:00,KXBTC15M-26SEP142015-15,78179.05,0.6800,0.6900,0.6800,494008.60,2026-09-15T00:00:00Z,2026-09-15T00:15:00Z
2026-09-15T00:02:23.852+00:00,KXBTC15M-26SEP142015-15,78179.05,0.6800,0.6900,0.6800,494008.60,2026-09-15T00:00:00Z,2026-09-15T00:15:00Z
2026-09-15T00:02:26.015+00:00,KXBTC15M-26SEP142015-15,78179.05,0.6700,0.6800,0.6800,524305.33,2026-09-15T00:00:00Z,2026-09-15T00:15:00Z
2026-09-15T00:02:28.197+00:00,KXBTC15M-26SEP142015-15,78179.05,0.6700,0.6800,0.6800,524305.33,2026-09-15T00:00:00Z,2026-09-15T00:15:00Z
2026-09-15T00:02:30.369+00:00,KXBTC15M-26SEP142015-15,78179.05,0.6700,0.6800,0.6800,524305.33,2026-09-15T00:00:00Z,2026-09-15T00:15:00Z
2026-09-15T00:02:32.522+00:00,KXBTC15M-26SEP142015-15,78179.05,0.6700,0.6800,0.6800,524305.33,2026-09-15T00:00:00Z,2026-09-15T00:15:00Z
2026-09-15T00:02:34.781+00:00,KXBTC15M-26SEP142015-15,78179.05,0.6700,0.6800,0.6800,524305.33,2026-09-15T00:00:00Z,2026-09-15T00:15:00Z
2026-09-15T00:02:36.923+00:00,KXBTC15M-26SEP142015-15,78179.05,0.6200,0.6300,0.6300,562137.09,2026-09-15T00:00:00Z,2026-09-15T00:15:00Z
2026-09-15T00:02:39.065+00:00,KXBTC15M-26SEP142015-15,78179.05,0.6200,0.6300,0.6300,562137.09,2026-09-15T00:00:00Z,2026-09-15T00:15:00Z
2026-09-15T00:02:41.208+00:00,KXBTC15M-26SEP142015-15,78179.05,0.6200,0.6300,0.6300,562137.09,2026-09-15T00:00:00Z,2026-09-15T00:15:00Z
2026-09-15T00:02:43.347+00:00,KXBTC15M-26SEP142015-15,78179.05,0.6200,0.6300,0.6300,562137.09,2026-09-15T00:00:00Z,2026-09-15T00:15:00Z
2026-09-15T00:02:45.620+00:00,KXBTC15M-26SEP142015-15,78179.05,0.6200,0.6300,0.6300,562137.09,2026-09-15T00:00:00Z,2026-09-15T00:15:00Z
2026-09-15T00:02:47.759+00:00,KXBTC15M-26SEP142015-15,78179.05,0.6200,0.6300,0.6300,576611.49,2026-09-15T00:00:00Z,2026-09-15T00:15:00Z
2026-09-15T00:02:49.948+00:00,KXBTC15M-26SEP142015-15,78179.05,0.6200,0.6300,0.6300,576611.49,2026-09-15T00:00:00Z,2026-09-15T00:15:00Z
2026-09-15T00:02:52.173+00:00,KXBTC15M-26SEP142015-15,78179.05,0.6200,0.6300,0.6300,576611.49,2026-09-15T00:00:00Z,2026-09-15T00:15:00Z
