timestamp_utc,activo,nesting,combo,coste,profit_min_pct,gap_opens_pct,depth_usd,restante_s,ask_leg1,ask_leg2,o_inner,o_outer,o_inner_chainlink,o_outer_chainlink,inner_slug,outer_slug
2026-09-12T01:12:34+00:00,SOL,5min15m,YESout+NOin,1.219,-21.9,0.2846,12.28,145,0.999,0.22,102.17,101.88,102.16256724126329,101.84465101814327,sol-updown-5m-1789175400,sol-updown-15m-1789174800
2026-09-12T01:12:34+00:00,XRP,5min15m,YESout+NOin,1.319,-31.9,0.3023,3.84,145,0.999,0.32,1.3604,1.3563,1.3601624191479864,1.3562620879228207,xrp-updown-5m-1789175400,xrp-updown-15m-1789174800
2026-09-12T01:26:38+00:00,BTC,5min15m,NOout+YESin,1.22,-22.0,-0.0346,116.62,201,0.93,0.29,77320.755,77347.495,77308.38317922819,77355.47920195459,btc-updown-5m-1789176300,btc-updown-15m-1789175700
2026-09-12T01:26:38+00:00,ETH,5min15m,YESout+NOin,0.91,9.0,0.027,2.5,201,0.41,0.5,2514.885,2514.205,2515.0733,2515.4250272386807,eth-updown-5m-1789176300,eth-updown-15m-1789175700
2026-09-12T01:26:38+00:00,SOL,5min15m,NOout+YESin,1.28,-28.0,-0.1076,4.75,201,0.95,0.33,102.08,102.19,102.06830377577639,102.17140571712594,sol-updown-5m-1789176300,sol-updown-15m-1789175700
2026-09-12T01:26:39+00:00,XRP,5min15m,YESout+NOin,1.56,-56.0,0.0294,8.9,200,0.67,0.89,1.3614,1.361,1.361212654489214,1.3606145237878078,xrp-updown-5m-1789176300,xrp-updown-15m-1789175700
2026-09-12T01:28:48+00:00,XRP,5min15m,YESout+NOin,1.84,-84.0,0.0294,4.75,71,0.95,0.89,1.3614,1.361,1.361212654489214,1.3606145237878078,xrp-updown-5m-1789176300,xrp-updown-15m-1789175700
2026-09-12T01:42:46+00:00,BTC,5min15m,YESout+NOin,0.37,63.0,0.0025,36.68,133,0.18,0.19,77280.305,77278.355,77292.80443953686,77302.13104973102,btc-updown-5m-1789177200,btc-updown-15m-1789176600
2026-09-12T01:42:46+00:00,ETH,5min15m,YESout+NOin,0.74,26.0,0.043,2.34,133,0.7,0.04,2513.985,2512.905,2513.530461903774,2513.14745,eth-updown-5m-1789177200,eth-updown-15m-1789176600
2026-09-12T01:42:47+00:00,SOL,5min15m,YESout+NOin,0.32,68.0,0.0098,0.07,132,0.29,0.03,102.04,102.03,102.03529660657593,102.04039900933354,sol-updown-5m-1789177200,sol-updown-15m-1789176600
2026-09-12T01:42:47+00:00,XRP,5min15m,YESout+NOin,0.86,14.0,0.0588,4.84,132,0.85,0.01,1.3617,1.3609,1.3615542131845475,1.361019925,xrp-updown-5m-1789177200,xrp-updown-15m-1789176600
2026-09-12T01:44:54+00:00,BTC,5min15m,YESout+NOin,0.02,98.0,0.0025,169.98,5,0.01,0.01,77280.305,77278.355,77292.80443953686,77302.13104973102,btc-updown-5m-1789177200,btc-updown-15m-1789176600
2026-09-12T01:44:54+00:00,ETH,5min15m,YESout+NOin,0.02,98.0,0.043,47.39,5,0.01,0.01,2513.985,2512.905,2513.530461903774,2513.14745,eth-updown-5m-1789177200,eth-updown-15m-1789176600
2026-09-12T01:44:55+00:00,SOL,5min15m,YESout+NOin,0.02,98.0,0.0098,33.84,4,0.01,0.01,102.04,102.03,102.03529660657593,102.04039900933354,sol-updown-5m-1789177200,sol-updown-15m-1789176600
2026-09-12T01:45:07+00:00,BTC,5min15m,YESout+NOin,0.02,98.0,0.0025,1400.06,-7,0.01,0.01,77280.305,77278.355,77292.80443953686,77302.13104973102,btc-updown-5m-1789177200,btc-updown-15m-1789176600
2026-09-12T01:45:07+00:00,ETH,5min15m,YESout+NOin,0.02,98.0,0.043,994.33,-7,0.01,0.01,2513.985,2512.905,2513.530461903774,2513.14745,eth-updown-5m-1789177200,eth-updown-15m-1789176600
2026-09-12T01:45:07+00:00,SOL,5min15m,YESout+NOin,0.02,98.0,0.0098,814.28,-7,0.01,0.01,102.04,102.03,102.03529660657593,102.04039900933354,sol-updown-5m-1789177200,sol-updown-15m-1789176600
2026-09-12T01:45:19+00:00,BTC,5min15m,YESout+NOin,0.02,98.0,0.0025,1400.06,-19,0.01,0.01,77280.305,77278.355,77292.80443953686,77302.13104973102,btc-updown-5m-1789177200,btc-updown-15m-1789176600
2026-09-12T01:45:20+00:00,ETH,5min15m,YESout+NOin,0.02,98.0,0.043,994.33,-20,0.01,0.01,2513.985,2512.905,2513.530461903774,2513.14745,eth-updown-5m-1789177200,eth-updown-15m-1789176600
2026-09-12T01:45:20+00:00,SOL,5min15m,YESout+NOin,0.02,98.0,0.0098,814.28,-20,0.01,0.01,102.04,102.03,102.03529660657593,102.04039900933354,sol-updown-5m-1789177200,sol-updown-15m-1789176600
2026-09-12T01:45:32+00:00,BTC,5min15m,YESout+NOin,0.02,98.0,0.0025,1374.29,-32,0.01,0.01,77280.305,77278.355,77292.80443953686,77302.13104973102,btc-updown-5m-1789177200,btc-updown-15m-1789176600
2026-09-12T01:45:33+00:00,ETH,5min15m,YESout+NOin,0.02,98.0,0.043,978.56,-33,0.01,0.01,2513.985,2512.905,2513.530461903774,2513.14745,eth-updown-5m-1789177200,eth-updown-15m-1789176600
2026-09-12T01:45:33+00:00,SOL,5min15m,YESout+NOin,0.02,98.0,0.0098,806.01,-33,0.01,0.01,102.04,102.03,102.03529660657593,102.04039900933354,sol-updown-5m-1789177200,sol-updown-15m-1789176600
2026-09-12T01:46:59+00:00,BTC,15min60m,NOout+YESin,1.1,-10.0,-0.0033,49.53,780,0.52,0.58,77259.855,77262.38,77265.25201154259,77256.36516005419,btc-updown-15m-1789177500,bitcoin-up-or-down-september-11-2026-9pm-et
2026-09-12T01:47:00+00:00,ETH,15min60m,YESout+NOin,1.34,-34.0,0.117,17.2,779,0.91,0.43,2512.37,2509.435,2513.0518592100834,2509.76976902443,eth-updown-15m-1789177500,ethereum-up-or-down-september-11-2026-9pm-et
2026-09-12T01:47:00+00:00,SOL,15min60m,YESout+NOin,1.19,-19.0,0.1767,2.48,779,0.88,0.31,102.06,101.88,102.0432313541393,101.84465101814327,sol-updown-15m-1789177500,solana-up-or-down-september-11-2026-9pm-et
2026-09-12T01:47:00+00:00,XRP,15min60m,YESout+NOin,1.491,-49.1,0.4424,3.74,779,0.991,0.5,1.3623,1.3563,1.3620947322042112,1.3562620879228207,xrp-updown-15m-1789177500,xrp-up-or-down-september-11-2026-9pm-et
2026-09-12T01:48:28+00:00,BTC,15min60m,NOout+YESin,1.05,-5.0,-0.0033,228.6,691,0.36,0.69,77259.855,77262.38,77265.25201154259,77256.36516005419,btc-updown-15m-1789177500,bitcoin-up-or-down-september-11-2026-9pm-et
2026-09-12T01:48:29+00:00,ETH,15min60m,YESout+NOin,1.24,-24.0,0.117,6.93,690,0.96,0.28,2512.37,2509.435,2513.0518592100834,2509.76976902443,eth-updown-15m-1789177500,ethereum-up-or-down-september-11-2026-9pm-et
2026-09-12T01:48:29+00:00,SOL,15min60m,YESout+NOin,1.15,-15.0,0.1767,1.6,690,0.95,0.2,102.06,101.88,102.0432313541393,101.84465101814327,sol-updown-15m-1789177500,solana-up-or-down-september-11-2026-9pm-et
2026-09-12T01:48:29+00:00,XRP,15min60m,YESout+NOin,1.485,-48.5,0.4424,5.88,690,0.995,0.49,1.3623,1.3563,1.3620947322042112,1.3562620879228207,xrp-updown-15m-1789177500,xrp-up-or-down-september-11-2026-9pm-et
2026-09-12T01:50:39+00:00,BTC,15min60m,NOout+YESin,1.03,-3.0,-0.0033,28.0,560,0.2,0.83,77259.855,77262.38,77265.25201154259,77256.36516005419,btc-updown-15m-1789177500,bitcoin-up-or-down-september-11-2026-9pm-et
2026-09-12T01:50:40+00:00,ETH,15min60m,YESout+NOin,1.18,-18.0,0.117,1.0,559,0.98,0.2,2512.37,2509.435,2513.0518592100834,2509.76976902443,eth-updown-15m-1789177500,ethereum-up-or-down-september-11-2026-9pm-et
2026-09-12T01:50:40+00:00,SOL,15min60m,YESout+NOin,1.11,-11.0,0.1767,0.78,559,0.98,0.13,102.06,101.88,102.0432313541393,101.84465101814327,sol-updown-15m-1789177500,solana-up-or-down-september-11-2026-9pm-et
2026-09-12T01:50:40+00:00,XRP,15min60m,YESout+NOin,1.318,-31.8,0.4424,3.84,559,0.998,0.32,1.3623,1.3563,1.3620947322042112,1.3562620879228207,xrp-updown-15m-1789177500,xrp-up-or-down-september-11-2026-9pm-et
2026-09-12T01:52:10+00:00,BTC,15min60m,NOout+YESin,1.03,-3.0,-0.0033,115.56,469,0.12,0.91,77259.855,77262.38,77265.25201154259,77256.36516005419,btc-updown-15m-1789177500,bitcoin-up-or-down-september-11-2026-9pm-et
2026-09-12T01:52:11+00:00,SOL,15min60m,YESout+NOin,1.06,-6.0,0.1767,0.79,468,0.98,0.08,102.06,101.88,102.0432313541393,101.84465101814327,sol-updown-15m-1789177500,solana-up-or-down-september-11-2026-9pm-et
