timestamp_utc,activo,marco,slug,market_id,condition_id,ts_end,offset_s,direccion_implicita,ask_implicita,profundidad_implicita_eur,ratio_implicita_vs_stake,mejor_ask_implicita,n_niveles_implicita
2026-08-19T09:15:01.180+00:00,XRP,15min,xrp-updown-15m-1787130000,3692777,0x496d026c73eb7186ef6224b39ad012b2fe36ac33f4723a5f0b669b3c8bb607b2,1787130900,0,Down,0.36,10.8,10.3,0.36,5
2026-08-19T09:15:02.999+00:00,XRP,15min,xrp-updown-15m-1787130000,3692777,0x496d026c73eb7186ef6224b39ad012b2fe36ac33f4723a5f0b669b3c8bb607b2,1787130900,1,Down,0.36,10.8,10.3,0.36,5
2026-08-19T09:15:05.962+00:00,XRP,15min,xrp-updown-15m-1787130000,3692777,0x496d026c73eb7186ef6224b39ad012b2fe36ac33f4723a5f0b669b3c8bb607b2,1787130900,2,Down,0.36,10.8,10.3,0.36,5
2026-08-19T09:15:08.627+00:00,XRP,15min,xrp-updown-15m-1787130000,3692777,0x496d026c73eb7186ef6224b39ad012b2fe36ac33f4723a5f0b669b3c8bb607b2,1787130900,3,Down,0.36,10.8,10.3,0.36,5
2026-08-19T09:15:00.905+00:00,BNB,15min,bnb-updown-15m-1787130000,3692781,0x386fcdd2de185192bd2eb1224b17810f2cee530de04878477c70b0891c5d1105,1787130900,0,Down,0.8,10.82,10.3,0.8,5
2026-08-19T09:15:02.997+00:00,BNB,15min,bnb-updown-15m-1787130000,3692781,0x386fcdd2de185192bd2eb1224b17810f2cee530de04878477c70b0891c5d1105,1787130900,1,Down,0.8,10.82,10.3,0.8,5
2026-08-19T09:15:06.067+00:00,BNB,15min,bnb-updown-15m-1787130000,3692781,0x386fcdd2de185192bd2eb1224b17810f2cee530de04878477c70b0891c5d1105,1787130900,2,Down,0.8,10.82,10.3,0.8,5
2026-08-19T09:15:08.681+00:00,BNB,15min,bnb-updown-15m-1787130000,3692781,0x386fcdd2de185192bd2eb1224b17810f2cee530de04878477c70b0891c5d1105,1787130900,3,Down,0.8,10.82,10.3,0.8,5
2026-08-19T09:15:01.091+00:00,XRP,5min,xrp-updown-5m-1787130600,3693123,0xfb8665a667300931449e59e7ad2e8afe9a2ebaaaf94b3310070655f42ba8f9f0,1787130900,0,Down,0.53,8.1,7.7,0.53,5
2026-08-19T09:15:03.177+00:00,XRP,5min,xrp-updown-5m-1787130600,3693123,0xfb8665a667300931449e59e7ad2e8afe9a2ebaaaf94b3310070655f42ba8f9f0,1787130900,1,Down,0.53,8.1,7.7,0.53,5
2026-08-19T09:15:06.003+00:00,XRP,5min,xrp-updown-5m-1787130600,3693123,0xfb8665a667300931449e59e7ad2e8afe9a2ebaaaf94b3310070655f42ba8f9f0,1787130900,2,Down,0.53,8.1,7.7,0.53,5
2026-08-19T09:15:09.100+00:00,XRP,5min,xrp-updown-5m-1787130600,3693123,0xfb8665a667300931449e59e7ad2e8afe9a2ebaaaf94b3310070655f42ba8f9f0,1787130900,3,Down,0.53,8.1,7.7,0.53,5
2026-08-19T09:15:01.299+00:00,ETH,5min,eth-updown-5m-1787130600,3693126,0xf8addeba685547a1c48c62abe60d4930fed9fbc6c567844d967a177744630027,1787130900,0,Up,0.95,142.82,136.0,0.95,3
2026-08-19T09:15:03.347+00:00,ETH,5min,eth-updown-5m-1787130600,3693126,0xf8addeba685547a1c48c62abe60d4930fed9fbc6c567844d967a177744630027,1787130900,1,Up,0.95,142.82,136.0,0.95,3
2026-08-19T09:15:06.368+00:00,ETH,5min,eth-updown-5m-1787130600,3693126,0xf8addeba685547a1c48c62abe60d4930fed9fbc6c567844d967a177744630027,1787130900,2,Up,0.95,142.82,136.0,0.95,3
2026-08-19T09:15:09.510+00:00,ETH,5min,eth-updown-5m-1787130600,3693126,0xf8addeba685547a1c48c62abe60d4930fed9fbc6c567844d967a177744630027,1787130900,3,Up,0.95,142.82,136.0,0.95,3
2026-08-19T09:15:01.153+00:00,SOL,5min,sol-updown-5m-1787130600,3693122,0xb33ab0b222d3cc98367eb2ad5c491b47576480408f585a171a14fb658253d77a,1787130900,0,Up,0.51,5.2,5.0,0.51,6
2026-08-19T09:15:03.159+00:00,SOL,5min,sol-updown-5m-1787130600,3693122,0xb33ab0b222d3cc98367eb2ad5c491b47576480408f585a171a14fb658253d77a,1787130900,1,Up,0.51,5.2,5.0,0.51,6
2026-08-19T09:15:06.830+00:00,SOL,5min,sol-updown-5m-1787130600,3693122,0xb33ab0b222d3cc98367eb2ad5c491b47576480408f585a171a14fb658253d77a,1787130900,2,Up,0.51,5.2,5.0,0.51,6
2026-08-19T09:15:09.597+00:00,SOL,5min,sol-updown-5m-1787130600,3693122,0xb33ab0b222d3cc98367eb2ad5c491b47576480408f585a171a14fb658253d77a,1787130900,3,Up,0.51,5.2,5.0,0.51,6
