timestamp_utc,wallet,market_slug,title,outcome,asset,end_date,avg_price_wallet,size_wallet,usd_cost_wallet,cur_price_gamma,mejor_ask_deteccion,profundidad_eur_deteccion,ratio_vs_stake_deteccion
2026-08-27T07:12:27+00:00,0xeeb69a3468fedb81d1073b4187bb8b50f1d2cc67,bitcoin-up-or-down-on-august-27-2026,Bitcoin Up or Down on August 27?,Up,30362168929021601750300034737643767372889028812684919500865009947926116587632,2026-08-27,0.738,893.5869,659.5256,0.785,0.79,0.0,0.0
2026-08-27T07:12:27+00:00,0xeeb69a3468fedb81d1073b4187bb8b50f1d2cc67,will-solana-dip-to-95-on-august-26-2026,Will Solana dip to $95 on August 26?,No,85793454473829406413704588601709645749049502749392708719813414196634433784658,2026-08-27,0.5556,81.2109,45.1258,0,,,
2026-08-27T07:12:27+00:00,0xeeb69a3468fedb81d1073b4187bb8b50f1d2cc67,bitcoin-above-78k-on-september-2-2026,"Will the price of Bitcoin be above $78,000 on September 2?",Yes,3839982878465917732856260295265872631158605359468915712103320076197794586989,2026-09-02,0.6099,11.6865,7.1287,0.57,0.58,6964.0,6632.4
2026-08-27T07:12:27+00:00,0xeeb69a3468fedb81d1073b4187bb8b50f1d2cc67,bitcoin-above-78k-on-august-27-2026,"Will the price of Bitcoin be above $78,000 on August 27?",No,40552776526096288272310830561993395462025871959931844483413101975903413846073,2026-08-27,0.3352,1.45,0.4861,0.193,0.198,3116.74,2968.3
2026-08-27T07:12:28+00:00,0x60062ecbce1b143ed4955129377d2ff3632ac7e4,bitcoin-above-80k-on-august-27-2026,"Will the price of Bitcoin be above $80,000 on August 27?",No,46241364590991171211797695478933475894609467197326154794910520635486108296175,2026-08-27,0.8509,200,170.1974,0.891,0.893,8.93,8.5
2026-08-27T07:12:28+00:00,0x60062ecbce1b143ed4955129377d2ff3632ac7e4,ethereum-above-2400-on-august-27-2026,"Will the price of Ethereum be above $2,400 on August 27?",Yes,56307365556899707937721376249400129727622144604331754028391155884863291622143,2026-08-27,0.8611,200,172.2274,0.972,0.98,0.0,0.0
2026-08-27T07:12:28+00:00,0x60062ecbce1b143ed4955129377d2ff3632ac7e4,bitcoin-up-or-down-on-august-27-2026,Bitcoin Up or Down on August 27?,Up,30362168929021601750300034737643767372889028812684919500865009947926116587632,2026-08-27,0.7136,36.06,25.7351,0.785,0.79,0.0,0.0
2026-08-27T07:12:28+00:00,0x60062ecbce1b143ed4955129377d2ff3632ac7e4,ethereum-above-2500-on-august-27-2026,"Will the price of Ethereum be above $2,500 on August 27?",No,20706986443143420129324710122443166303262854622470427053527408615831213448039,2026-08-27,0.6888,34,23.4199,0.595,0.6,6357.59,6054.8
2026-08-27T07:12:29+00:00,0x60062ecbce1b143ed4955129377d2ff3632ac7e4,bitcoin-above-82k-on-august-27-2026,"Will the price of Bitcoin be above $82,000 on August 27?",No,7799895550254746062938238179221162192003649625962007683116942376386579022182,2026-08-27,0.979,20,19.58,0.9835,0.984,102167.25,97302.1
2026-08-27T07:12:29+00:00,0x60062ecbce1b143ed4955129377d2ff3632ac7e4,eth-updown-5m-1787812800,"Ethereum Up or Down - August 27, 2:40AM-2:45AM ET",Up,27802376488525193244413331415671174098876346335972542052493883440626093854411,2026-08-27,0.3399,15,5.0999,0,,,
2026-08-27T07:12:29+00:00,0x60062ecbce1b143ed4955129377d2ff3632ac7e4,eth-updown-5m-1787811900,"Ethereum Up or Down - August 27, 2:25AM-2:30AM ET",Up,97347206343981497347867765763054205482353930211568183896635246684144901524173,2026-08-27,0.475,10,4.75,0,,,
2026-08-27T07:12:30+00:00,0xcc500cbcc8b7cf5bd21975ebbea34f21b5644c82,will-bitcoin-dip-to-77pt5k-in-august-2026,"Will Bitcoin dip to $77,500 in August?",No,57883716462428071579766686340118968954570667128801343429757496441681686375445,2026-09-01,0.2598,2032.91,528.1677,0.3,0.31,0.0,0.0
2026-08-27T07:12:30+00:00,0xcc500cbcc8b7cf5bd21975ebbea34f21b5644c82,eth-updown-4h-1787774400,"Ethereum Up or Down - August 26, 4:00PM-8:00PM ET",Down,111554584108826732970059928166211188055075514516801011076447190792239724605519,2026-08-27,0.32,835.47,267.3504,0,,,
2026-08-27T07:12:30+00:00,0xcc500cbcc8b7cf5bd21975ebbea34f21b5644c82,btc-updown-4h-1787803200,"Bitcoin Up or Down - August 27, 12:00AM-4:00AM ET",Down,57453552770918277488787288686344284363149172113679194074545845645237876347197,2026-08-27,0.5928,699.1477,414.5225,0.585,0.6,272.78,259.8
2026-08-27T07:12:31+00:00,0x4ee29e4e7d4c380babeae5e22e5c02400c2246e1,bitcoin-up-or-down-on-august-27-2026,Bitcoin Up or Down on August 27?,Up,30362168929021601750300034737643767372889028812684919500865009947926116587632,2026-08-27,0.6269,3613.8852,2265.8453,0.785,0.79,0.0,0.0
2026-08-27T07:12:31+00:00,0x4ee29e4e7d4c380babeae5e22e5c02400c2246e1,bitcoin-above-82k-on-august-27-2026,"Will the price of Bitcoin be above $82,000 on August 27?",No,7799895550254746062938238179221162192003649625962007683116942376386579022182,2026-08-27,0.8994,2229.3815,2005.256,0.9835,0.984,0.0,0.0
2026-08-28T07:12:06+00:00,0xeeb69a3468fedb81d1073b4187bb8b50f1d2cc67,ethereum-above-2200-on-september-2-2026,"Will the price of Ethereum be above $2,200 on September 2?",Yes,474290885979729489334207687456013419057275042237034974106401726703450084185,2026-09-02,0.9849,891.0049,877.6397,0.9685,0.981,22461.08,21391.5
2026-08-28T07:12:06+00:00,0xeeb69a3468fedb81d1073b4187bb8b50f1d2cc67,bitcoin-above-78k-on-september-2-2026,"Will the price of Bitcoin be above $78,000 on September 2?",No,56673009172312122087529540629635715308689664864959219802070183030340177001325,2026-09-02,0.3404,65.6693,22.36,0.305,0.31,2626.83,2501.7
2026-08-28T07:12:07+00:00,0xeeb69a3468fedb81d1073b4187bb8b50f1d2cc67,will-solana-reach-110-on-august-27-2026,Will Solana reach $110 on August 27?,No,26155649604426494434359715019631067283468288223092972161609960991173219257489,2026-08-28,0.7671,18.3579,14.083,0,,,
2026-08-28T07:12:07+00:00,0xeeb69a3468fedb81d1073b4187bb8b50f1d2cc67,will-solana-reach-120-in-august-2026,Will Solana reach $120 in August?,Yes,91208010294797640336876649009275303809452891805528328886776161600933284481648,2026-09-01,0.2129,11.4672,2.4425,0.207,0.228,0.0,0.0
2026-08-28T07:12:07+00:00,0xeeb69a3468fedb81d1073b4187bb8b50f1d2cc67,bitcoin-above-70k-on-september-1-2026,"Will the price of Bitcoin be above $70,000 on September 1?",Yes,14463859355674170851318512299394230211066741294148984185159087181335219389149,2026-09-01,0.9879,4.4028,4.3499,0.987,0.997,31081.61,29601.5
2026-08-28T07:12:08+00:00,0x60062ecbce1b143ed4955129377d2ff3632ac7e4,bitcoin-above-80k-on-august-28-2026,"Will the price of Bitcoin be above $80,000 on August 28?",No,109989060666726640418863478888524289258852725170005349265463180188960585845560,2026-08-28,0.3574,92,32.8852,0.575,0.59,0.0,0.0
