timestamp_utc,market_id,condition_id,activo,marco,end_date,restante_s,ask_yes,ask_no,ask_sum,bid_yes,bid_no
2026-07-28T12:38:53+00:00,3120797,0x9c4edaf56d86cba22c8d3f29c5c86d09f89d4a7093c807db53056d9b7b888d2b,BTC,60min,2026-07-28T23:00:00+00:00,37266.9,0.51,0.5,1.01,0.5,0.49
2026-07-28T12:38:53+00:00,3121325,0x8adbbb41421feb80fe79f6dfdb274b4ecd81e8ea26702fac61305bd2e3df3c21,BTC,60min,2026-07-29T00:00:00+00:00,40866.7,0.51,0.5,1.01,0.5,0.49
2026-07-28T12:38:53+00:00,3122002,0x2c3d5a499e6bfccd0d298fc24acc681e59ed4e1342c1b9dfbc2beac2911b0af2,BTC,60min,2026-07-28T22:00:00+00:00,33666.5,0.51,0.5,1.01,0.5,0.49
2026-07-28T12:38:53+00:00,3122008,0xeabbcdf011cf53a86a56a68fe026bd4993b68fec883b72015aca14e47e61481a,BTC,60min,2026-07-29T01:00:00+00:00,44466.3,0.51,0.5,1.01,0.5,0.49
2026-07-28T12:38:53+00:00,3117062,0x5c2940fcb9a94b4ae2c22116cce395d42330d39a3d55bc2715e704b4d6c951d0,ETH,60min,2026-07-28T13:00:00+00:00,1266.1,0.83,0.18,1.01,0.82,0.17
2026-07-28T12:38:54+00:00,3117066,0xe4126b2d37f69c002c566155540cf3682b5d2be7c4abb6eafa7ed1b2d5dec56a,ETH,60min,2026-07-28T14:00:00+00:00,4865.9,0.53,0.53,1.06,0.47,0.47
2026-07-28T12:38:54+00:00,3117069,0x891406ad1ff84af416a06f91a5c6c232627df41aa5135f36a3b446c326860554,ETH,60min,2026-07-28T15:00:00+00:00,8465.7,0.51,0.5,1.01,0.5,0.49
2026-07-28T12:38:54+00:00,3117073,0x92dd7e47734e753e784518d72690074f9eb7140eac4521429c9be41c776cd252,ETH,60min,2026-07-28T16:00:00+00:00,12065.5,0.51,0.5,1.01,0.5,0.49
2026-07-28T12:38:54+00:00,3117077,0x244c5b907254e458e8dd5ef2a55dcabf5b48c53e03f7144a73acf39867beff0e,ETH,60min,2026-07-28T17:00:00+00:00,15665.3,0.51,0.5,1.01,0.5,0.49
2026-07-28T12:38:54+00:00,3117080,0x033b3c02bc120986db5af2a6da3fa6e189c0dc7a4fd965a4dcbb146a2c70133a,ETH,60min,2026-07-28T18:00:00+00:00,19265.1,0.51,0.5,1.01,0.5,0.49
2026-07-28T12:38:55+00:00,3117085,0x20a7f939192e238a85da27295e3ec3313346c5a9c5c55e4450555815793609a8,ETH,60min,2026-07-28T19:00:00+00:00,22864.8,0.51,0.5,1.01,0.5,0.49
2026-07-28T12:38:55+00:00,3117089,0x8b227691e9f1c8c927baaa1422e3315e57802faac01d1fa0403a34c54a7aac98,ETH,60min,2026-07-28T20:00:00+00:00,26464.7,0.51,0.5,1.01,0.5,0.49
2026-07-28T12:38:55+00:00,3118226,0xb9855b6929b2b7c57cdb9b7de8a680be177f13c7a0edf1ead27eba8578090c19,ETH,60min,2026-07-28T21:00:00+00:00,30064.5,0.51,0.5,1.01,0.5,0.49
2026-07-28T12:38:55+00:00,3120798,0x0f8f65f7434ecc9483d78837bebad26dabbbc281036d98eb93b2a42f395a8e23,ETH,60min,2026-07-28T23:00:00+00:00,37264.3,0.51,0.5,1.01,0.5,0.49
2026-07-28T12:38:55+00:00,3121326,0xd02d2177efbd50fe196d13a4b7d726465a67544cb7223e4982db2e1f2b52525a,ETH,60min,2026-07-29T00:00:00+00:00,40864.1,0.51,0.5,1.01,0.5,0.49
2026-07-28T12:38:56+00:00,3122034,0x53e88d13a0ae1caff65edfb4ab0ccf8d68ca3ac49aa1912d639eb659956e35a2,ETH,60min,2026-07-28T22:00:00+00:00,33663.9,0.51,0.5,1.01,0.5,0.49
