strategy,n_total,n_aciertos,n_fallos,hit_rate,ic_bayes,confianza,ic_efectivo,pnl_total,pnl_medio,max_ganancia,max_perdida,avg_win,avg_loss,expectancy,profit_factor,mejor_racha,peor_racha,edge_medio_pred,edge_real,avg_horas_ganadora,avg_horas_perdedora,kelly_optimo,causa_perdida_principal,confianza_n40,ic_efectivo_n40,n_necesario_95
FAVORITO_CONFIRMADO_60_240MIN_DEPTH_FASE0,1106,636,470,0.575,0.0749,1.0,0.0749,-42.8071,-0.0387,0.8381,-1.071,0.7242,-1.071,-0.0387,0.915,17,10,0.0592,-0.043,0.6,0.6,0.0,DIRECTION_ERROR,1.0,0.0749,168
ORDER_FLOW_5M_REACTIVO,468,205,263,0.438,-0.0617,1.0,-0.0617,-56.6102,-0.121,2.679,-1.071,1.0979,-1.071,-0.121,0.799,6,9,-0.03,-0.1344,0.0,0.0,0.0,TIMING_CORTO,1.0,-0.0617,249
FAVORITO_CONFIRMADO_SOL_ALTACONVICCION,1388,1045,343,0.7529,0.2525,1.0,0.2525,-96.9503,-0.0698,2.7158,-2.04,0.5027,-1.8144,-0.0698,0.8442,26,15,0.0056,-0.0776,0.1,0.1,0.0,DIRECTION_ERROR,1.0,0.2525,12
MOMENTUM_IBS_5M_FADE,7585,3614,3971,0.4765,-0.0235,1.0,-0.0235,-116.3893,-0.0153,3.8378,-1.9482,0.5553,-0.5347,-0.0153,0.9452,19,21,0.0114,-0.017,1.0,0.9,0.0,DIRECTION_ERROR,1.0,-0.0235,1732
STREAK_FADE_5M,3195,1531,1664,0.4792,-0.0208,1.0,-0.0208,-127.9854,-0.0401,1.8816,-2.04,0.53,-0.5646,-0.0401,0.8638,12,16,0.0375,-0.0445,0.1,0.1,0.0,DIRECTION_ERROR,1.0,-0.0208,2216
MOMENTUM_IBS_15M_FADE,5787,2564,3223,0.4431,-0.0569,1.0,-0.0569,-130.7225,-0.0226,4.6771,-1.6524,0.616,-0.5306,-0.0226,0.9236,9,17,-0.0257,-0.0251,0.4,0.3,0.0,DIRECTION_ERROR,1.0,-0.0569,293
UPDOWN_OU_5M,1106,402,704,0.3635,-0.1363,1.0,-0.1363,-152.0178,-0.1374,2.4312,-1.8564,0.594,-0.5551,-0.1374,0.611,7,23,0.0488,-0.1527,0.1,0.1,0.0,DIRECTION_ERROR,1.0,-0.1363,48
CANDIDATA9_BOT_CONSENSO,1472,585,887,0.3974,-0.1024,1.0,-0.1024,-189.0457,-0.1284,3.929,-1.071,1.3007,-1.071,-0.1284,0.801,6,13,0.0006,-0.1427,0.0,0.0,0.0,TIMING_CORTO,1.0,-0.1024,88
MOMENTUM_IBS_15M,14356,7012,7344,0.4884,-0.0116,1.0,-0.0116,-206.5791,-0.0144,4.2519,-2.04,0.556,-0.559,-0.0144,0.9497,16,12,-0.0036,-0.016,1.2,1.1,0.0,DIRECTION_ERROR,1.0,-0.0116,7182
FAVORITO_CONFIRMADO_15MIN_ALTACONVICCION,16394,11355,5039,0.6926,0.1926,1.0,0.1926,-1087.6557,-0.0663,7.8467,-2.04,0.3808,-1.0682,-0.0646,0.7987,49,20,0.0593,-0.0737,0.2,0.2,0.0,DIRECTION_ERROR,1.0,0.1926,23
FAVORITO_CONFIRMADO_DEPTH_FASE0,35194,20987,14207,0.5963,0.0963,1.0,0.0963,-1128.2533,-0.0321,0.8381,-1.071,0.6715,-1.0703,-0.0316,0.9258,16,7,-0.0043,-0.0356,0.1,0.1,0.0,DIRECTION_ERROR,1.0,0.0963,100
BALLENAS_TARDIAS,33232,13807,19425,0.4155,-0.0845,1.0,-0.0845,-4624.5287,-0.1392,103.929,-1.071,1.1718,-1.071,-0.1392,0.7777,31,31,0.0063,-0.1546,0.1,0.1,0.0,DIRECTION_ERROR,1.0,-0.0845,131
FAVORITO_CONFIRMADO_5MIN_ALTACONVICCION,68008,47354,20654,0.6963,0.1963,1.0,0.1963,-5433.9926,-0.0799,11.7531,-2.04,0.3523,-1.0688,-0.0793,0.7542,52,36,0.0596,-0.0888,0.1,0.1,0.0,DIRECTION_ERROR,1.0,0.1963,22
FAVORITO_CONFIRMADO,124255,75897,48358,0.6108,0.1108,1.0,0.1108,-5966.2747,-0.048,17.0076,-2.04,0.6788,-1.1774,-0.0436,0.8958,32,20,0.0027,-0.0534,0.1,0.1,0.0,DIRECTION_ERROR,1.0,0.1108,75
