timestamp_utc,trade_timestamp,wallet,tipo,edge_pp_validado,n_validado,activo,marco,mirror_lado,market_slug,lag_ws_ms,lag_deteccion_a_decision_ms,ratio_deteccion,ask_deteccion,ratio_decision,ask_decision,degradacion_ask_pct,sigue_fillable_en_decision,stake_dryrun_eur,tupla_sintetica,en_whitelist_real,puede_operar_ventana
2026-08-03T20:22:45.714+00:00,2026-08-03T20:22:45.000+00:00,0xecf45e7576846cb73ee5fa187f816ffe840ce68c,SEGUIR,4.95,949,BTC,15min,Down,btc-updown-15m-1785788100,715.0,279.42,0.0,0.09,0.0,0.09,0.0,0,1.05,WALLET_MIRROR#BTC#15min#BUY_Down,0,False
2026-08-03T20:22:45.997+00:00,2026-08-03T20:22:45.000+00:00,0x5d5f7080cf696bf763b3d7d2721201cf2eba1897,SEGUIR,6.217,539,BTC,15min,Down,btc-updown-15m-1785788100,997.6,243.39,0.0,0.09,0.0,0.09,0.0,0,1.05,WALLET_MIRROR#BTC#15min#BUY_Down,0,False
2026-08-03T20:22:49.293+00:00,2026-08-03T20:22:49.000+00:00,0x2b2619da10051f2b7b9256a746713695765142f1,SEGUIR,8.22,542,BTC,15min,Down,btc-updown-15m-1785788100,293.6,242.52,0.0,0.09,0.0,0.09,0.0,0,1.05,WALLET_MIRROR#BTC#15min#BUY_Down,0,False
2026-08-03T20:23:12.956+00:00,2026-08-03T20:23:12.000+00:00,0x73e40b377cf4ac7034d0afaf66abb58f3424fb79,SEGUIR,7.212,302,BTC,5min,Down,btc-updown-5m-1785788400,956.7,264.41,1664.5,0.68,1700.6,0.68,0.0,1,1.05,WALLET_MIRROR#BTC#5min#BUY_Down,0,False
2026-08-03T20:23:15.205+00:00,2026-08-03T20:23:15.000+00:00,0x59277134cc2a099bf5667a33e40fa1d0daa5666b,SEGUIR,17.761,65,XRP,5min,Up,xrp-updown-5m-1785788400,205.4,220.29,2.1,0.37,2.1,0.37,0.0,0,1.96,WALLET_MIRROR#XRP#5min#BUY_Up,0,False
2026-08-03T20:23:24.397+00:00,2026-08-03T20:23:24.000+00:00,0x8856e15c9bbdd939cb98e2776f725f502aaef6ad,SEGUIR,12.179,2494,BTC,5min,Up,btc-updown-5m-1785788400,397.3,214.81,110.3,0.25,143.8,0.25,0.0,1,1.34,WALLET_MIRROR#BTC#5min#BUY_Up,0,False
2026-08-03T20:23:24.723+00:00,2026-08-03T20:23:24.000+00:00,0x4b0f7ce1ae40ccfffced6e0a7cde71fc08ba57fe,SEGUIR,11.582,156,BTC,5min,Down,btc-updown-5m-1785788400,723.6,217.5,1005.1,0.76,1012.3,0.76,0.0,1,1.28,WALLET_MIRROR#BTC#5min#BUY_Down,0,False
2026-08-03T20:23:25.119+00:00,2026-08-03T20:23:24.000+00:00,0xce25e214d5cfe4f459cf67f08df581885aae7fdc,SEGUIR,1.649,10514,ETH,15min,Up,eth-updown-15m-1785788100,1119.9,212.53,444.2,0.84,464.4,0.84,0.0,1,1.05,WALLET_MIRROR#ETH#15min#BUY_Up,0,False
2026-08-03T20:23:33.397+00:00,2026-08-03T20:23:33.000+00:00,0x335ac48637a3bc37c2eac9e0c9799c32b3cda494,SEGUIR,5.372,834,SOL,15min,Down,sol-updown-15m-1785788100,397.4,228.84,1.2,0.26,1.2,0.26,0.0,0,1.05,WALLET_MIRROR#SOL#15min#BUY_Down,0,False
2026-08-03T20:24:01.223+00:00,2026-08-03T20:24:00.000+00:00,0xe138e08aee245eb2bf6a1b767c319d6234e81d84,SEGUIR,21.565,41,BTC,5min,Up,btc-updown-5m-1785788400,1223.1,227.42,25.8,0.09,25.8,0.09,0.0,1,2.0,WALLET_MIRROR#BTC#5min#BUY_Up,0,False
2026-08-03T20:25:10.861+00:00,2026-08-03T20:25:10.000+00:00,0x127bc69b51601504f52afff08f1868cfbcae46ac,SEGUIR,24.788,40,BTC,5min,Down,btc-updown-5m-1785788700,861.1,468.42,1383.4,0.42,1305.5,0.43,2.381,1,2.0,WALLET_MIRROR#BTC#5min#BUY_Down,0,False
2026-08-03T20:25:17.684+00:00,2026-08-03T20:25:17.000+00:00,0xfcdc071df7080c214196bb0b3b751e5417f9d8e3,SEGUIR,5.425,1134,SOL,5min,Down,sol-updown-5m-1785788700,684.5,281.46,0.0,0.39,0.0,0.39,0.0,0,1.05,WALLET_MIRROR#SOL#5min#BUY_Down,0,False
2026-08-03T20:26:04.479+00:00,2026-08-03T20:26:04.000+00:00,0x935cac7914833e087848277e3f698fee3194cd27,SEGUIR,12.085,412,BTC,5min,Up,btc-updown-5m-1785788700,479.6,232.49,1102.7,0.55,1105.2,0.55,0.0,1,1.33,WALLET_MIRROR#BTC#5min#BUY_Up,0,False
2026-08-03T20:26:11.924+00:00,2026-08-03T20:26:11.000+00:00,0x96e0874058ebaadc9cfb57cfe2cb242960ebcdd9,SEGUIR,15.853,80,ETH,5min,Up,eth-updown-5m-1785788700,924.1,212.34,157.5,0.32,151.2,0.32,0.0,1,1.75,WALLET_MIRROR#ETH#5min#BUY_Up,0,False
2026-08-03T20:26:14.051+00:00,2026-08-03T20:26:13.000+00:00,0x957dc146dd75a8950e3d5c4dc4842fbe2e6ac56b,SEGUIR,22.782,88,XRP,5min,Down,xrp-updown-5m-1785788700,1051.1,216.02,0.0,0.7,0.0,0.7,0.0,0,2.0,WALLET_MIRROR#XRP#5min#BUY_Down,0,False
2026-08-03T20:26:31.783+00:00,2026-08-03T20:26:31.000+00:00,0x16bc7faccdb6dedd07d47333a6f06fef635dd23a,SEGUIR,2.24,5653,SOL,15min,Down,sol-updown-15m-1785788100,783.0,205.07,23.7,0.45,23.7,0.45,0.0,1,1.05,WALLET_MIRROR#SOL#15min#BUY_Down,0,False
2026-08-03T20:26:43.587+00:00,2026-08-03T20:26:43.000+00:00,0x8856e15c9bbdd939cb98e2776f725f502aaef6ad,SEGUIR,12.179,2494,BTC,5min,Up,btc-updown-5m-1785788700,587.1,206.95,570.3,0.27,524.6,0.27,0.0,1,1.34,WALLET_MIRROR#BTC#5min#BUY_Up,0,False
2026-08-03T20:26:52.316+00:00,2026-08-03T20:26:52.000+00:00,0x1b414826a2c991d5ae1669a754291626d0df0b56,SEGUIR,16.53,128,BTC,15min,Down,btc-updown-15m-1785788100,316.8,219.64,0.0,0.17,0.0,0.17,0.0,0,1.82,WALLET_MIRROR#BTC#15min#BUY_Down,0,False
2026-08-03T20:26:58.697+00:00,2026-08-03T20:26:58.000+00:00,0x9a1a3a66acad17bf5e61a073db8dd48fca7adbd1,SEGUIR,18.749,82,BTC,5min,Down,btc-updown-5m-1785788700,697.6,199.31,1555.5,0.77,1620.0,0.77,0.0,1,2.0,WALLET_MIRROR#BTC#5min#BUY_Down,0,False
2026-08-03T20:27:07.592+00:00,2026-08-03T20:27:07.000+00:00,0xee55214ee3a9ee22a404663c76ca832577df7b04,SEGUIR,1.971,5521,SOL,15min,Up,sol-updown-15m-1785788100,592.5,190.63,2.6,0.45,2.6,0.45,0.0,0,1.05,WALLET_MIRROR#SOL#15min#BUY_Up,0,False
2026-08-03T20:27:39.308+00:00,2026-08-03T20:27:39.000+00:00,0x0c7c5204404e9d5402d258fedac59c7212bae4cb,SEGUIR,9.649,1636,BNB,15min,Up,bnb-updown-15m-1785788100,308.4,203.93,2.3,0.81,2.3,0.81,0.0,0,1.06,WALLET_MIRROR#BNB#15min#BUY_Up,0,False
2026-08-03T20:27:47.955+00:00,2026-08-03T20:27:47.000+00:00,0xd912131221d75b624963c928fa5bfd284c4775c3,SEGUIR,17.252,453,BTC,5min,Down,btc-updown-5m-1785788700,955.7,334.12,2871.0,0.4,2810.6,0.4,0.0,1,1.9,WALLET_MIRROR#BTC#5min#BUY_Down,0,False
2026-08-03T20:27:48.294+00:00,2026-08-03T20:27:48.000+00:00,0x13318bcb09a972d1b2357df7ef49f35313db97c2,SEGUIR,8.593,240,BNB,15min,Down,bnb-updown-15m-1785788100,295.0,238.92,0.0,0.22,0.0,0.22,0.0,0,1.05,WALLET_MIRROR#BNB#15min#BUY_Down,0,False
2026-08-03T20:27:59.791+00:00,2026-08-03T20:27:59.000+00:00,0x95f51617e900f7d4df2894d77a73c1b2b269779f,SEGUIR,24.032,73,BTC,5min,Up,btc-updown-5m-1785788700,791.9,269.25,1510.2,0.62,1523.5,0.62,0.0,1,2.0,WALLET_MIRROR#BTC#5min#BUY_Up,0,False
2026-08-03T20:28:59.498+00:00,2026-08-03T20:28:59.000+00:00,0x66f7c840262415ab6a03f1c4ccedd54be53ac691,SEGUIR,25.733,35,SOL,5min,Up,sol-updown-5m-1785788700,499.0,213.96,22.0,0.1,22.0,0.1,0.0,1,2.0,WALLET_MIRROR#SOL#5min#BUY_Up,0,False
2026-08-03T20:29:00.297+00:00,2026-08-03T20:29:00.000+00:00,0xb1feb9fe351c9e5fbc372c6a49b7fe5bdd9608d2,SEGUIR,21.63,48,SOL,5min,Up,sol-updown-5m-1785788700,297.9,212.05,12.5,0.09,12.5,0.09,0.0,1,2.0,WALLET_MIRROR#SOL#5min#BUY_Up,0,False
2026-08-03T20:29:07.039+00:00,2026-08-03T20:29:06.000+00:00,0x73e40b377cf4ac7034d0afaf66abb58f3424fb79,SEGUIR,7.212,302,BTC,5min,Up,btc-updown-5m-1785788700,1039.1,212.01,883.3,0.42,921.2,0.42,0.0,1,1.05,WALLET_MIRROR#BTC#5min#BUY_Up,0,False
2026-08-03T20:29:31.966+00:00,2026-08-03T20:29:31.000+00:00,0x4dab9e8cc5b2bb970de6243e501a0611d7886d0e,SEGUIR,12.732,228,BTC,5min,Up,btc-updown-5m-1785788700,966.4,213.81,0.0,0.78,0.0,0.79,1.282,0,1.4,WALLET_MIRROR#BTC#5min#BUY_Up,0,False
2026-08-03T20:29:34.351+00:00,2026-08-03T20:29:34.000+00:00,0xcbedda30b5f1b6f97e81821b35e83436717a2de7,SEGUIR,16.248,133,BTC,5min,Up,btc-updown-5m-1785788700,351.4,282.24,0.0,0.85,0.0,0.84,-1.176,0,1.79,WALLET_MIRROR#BTC#5min#BUY_Up,0,False
2026-08-03T20:29:38.341+00:00,2026-08-03T20:29:38.000+00:00,0x8cec765e6d34e4a0bd6822c642b7514f2d9300e3,SEGUIR,20.944,94,BTC,5min,Up,btc-updown-5m-1785788700,341.8,243.94,173.9,0.82,73.4,0.82,0.0,1,2.0,WALLET_MIRROR#BTC#5min#BUY_Up,0,False
2026-08-03T20:29:38.590+00:00,2026-08-03T20:29:38.000+00:00,0x6a7eca51a61b15eaef6c3c5b56b09259b37ccfcc,SEGUIR,28.839,42,BTC,5min,Up,btc-updown-5m-1785788700,590.1,236.76,37.8,0.83,42.7,0.83,0.0,1,2.0,WALLET_MIRROR#BTC#5min#BUY_Up,0,False
2026-08-03T20:29:39.010+00:00,2026-08-03T20:29:38.000+00:00,0x85995efd91e257db2099319f6202080431b9ad67,SEGUIR,16.498,87,BTC,5min,Up,btc-updown-5m-1785788700,1010.1,235.94,582.8,0.83,596.8,0.84,1.205,1,1.82,WALLET_MIRROR#BTC#5min#BUY_Up,0,False
