veto_timestamp_utc,market_id,strategy,subtype,direction,motivo_origen,precio_plan,stake_eur,ratio_inicial,muestras_json,mejora_detectada,t_mejora_s,ratio_max
2026-08-02T16:22:22+00:00,3265548,FAVORITO_CONFIRMADO_5MIN_ALTACONVICCION,SOL#5min,BUY_YES,candidato_evaluacion,0.73,1.05,0.0,"[[5.0,0.0,0.94],[10.2,0.0,0.94],[15.4,0.0,0.94],[20.6,0.0,0.97],[25.8,0.0,0.98],[31.2,0.0,0.99],[36.8,0.0,0.99],[41.9,0.0,0.99],[47.0,0.0,0.99],[52.2,0.0,0.99],[57.3,0.0,0.99],[62.6,0.0,null]]",0,,0.0
2026-08-02T16:24:15+00:00,3265532,GBM_LATE_15M,SOL#15min,BUY_YES,candidato_evaluacion,0.495,1.05,0.0,"[[5.0,0.0,0.95],[10.2,0.0,0.96],[15.3,0.0,0.96],[20.5,0.0,0.97],[25.6,0.0,0.98],[30.7,0.0,0.98],[35.8,0.0,0.98],[40.9,0.0,0.97],[46.2,0.0,0.98],[51.5,0.0,0.98],[56.6,0.0,0.98],[61.7,0.0,0.98]]",0,,0.0
2026-08-02T16:24:16+00:00,3265532,GBM_LATE_15M_TARDIO,SOL#15min,BUY_YES,candidato_evaluacion,0.495,1.05,0.0,"[[5.0,0.0,0.95],[10.2,0.0,0.96],[15.4,0.0,0.96],[20.5,0.0,0.97],[25.6,0.0,0.98],[30.7,0.0,0.98],[35.8,0.0,0.98],[41.0,0.0,0.97],[46.2,0.0,0.98],[51.5,0.0,0.98],[56.6,0.0,0.98],[61.7,0.0,0.98]]",0,,0.0
2026-08-02T16:26:08+00:00,3266787,FAVORITO_CONFIRMADO,XRP#5min,BUY_NO,candidato_evaluacion,0.63,1.05,0.0,"[[5.0,0.0,0.98],[10.1,0.0,0.98],[15.2,0.0,0.98],[20.3,0.0,0.98],[25.4,0.0,0.98],[30.5,0.0,0.98],[35.6,0.0,0.98],[40.7,0.0,0.98],[45.8,0.0,0.98],[50.9,0.0,0.98],[56.0,0.0,0.98],[61.1,0.0,0.98]]",0,,0.0
2026-08-02T16:26:08+00:00,3266788,FAVORITO_CONFIRMADO,BTC#5min,BUY_NO,candidato_evaluacion,0.55,1.05,0.0,"[[5.0,0.0,0.89],[10.1,0.0,0.89],[15.2,0.0,0.89],[20.3,0.0,0.89],[25.4,0.0,0.89],[30.5,0.0,0.91],[35.7,0.0,0.91],[40.8,0.0,0.9],[45.9,0.0,0.9],[51.0,0.0,0.93],[56.2,0.0,0.93],[61.3,0.0,0.89]]",0,,0.0
2026-08-02T16:26:09+00:00,3266789,FAVORITO_CONFIRMADO,ETH#5min,BUY_NO,candidato_evaluacion,0.59,1.05,0.0,"[[5.0,0.0,0.95],[10.1,0.0,0.95],[15.2,0.0,0.93],[20.3,0.0,0.93],[25.4,0.0,0.93],[30.5,0.0,0.93],[35.6,0.0,0.95],[40.7,0.0,0.95],[45.7,0.0,0.95],[50.8,0.0,0.96],[56.0,0.0,0.96],[61.1,0.0,0.98]]",0,,0.0
2026-08-02T16:26:09+00:00,3266784,FAVORITO_CONFIRMADO,SOL#5min,BUY_NO,candidato_evaluacion,0.6,1.05,0.0,"[[5.0,0.0,0.93],[10.1,0.0,0.94],[15.2,0.0,0.91],[20.3,0.0,0.92],[25.4,0.0,0.92],[30.5,0.0,0.94],[35.7,0.0,0.94],[40.8,0.0,0.93],[45.8,0.0,0.94],[50.9,0.0,0.95],[56.0,0.0,0.95],[61.2,0.0,0.91]]",0,,0.0
2026-08-02T16:34:05+00:00,3266801,FAVORITO_CONFIRMADO,SOL#5min,BUY_YES,candidato_evaluacion,0.58,1.05,0.0,"[[5.0,0.0,null],[10.1,0.0,null],[15.2,0.0,null],[20.3,0.0,null],[25.4,0.0,null],[30.4,0.0,null],[35.6,0.0,null],[40.6,0.0,null],[45.7,0.0,null],[50.8,0.0,null],[55.9,0.0,null],[61.1,0.0,null]]",0,,0.0
2026-08-02T16:34:07+00:00,3266798,FAVORITO_CONFIRMADO_5MIN_ALTACONVICCION,ETH#5min,BUY_YES,candidato_evaluacion,0.72,1.05,0.0,"[[5.0,0.0,null],[10.1,0.0,null],[15.2,0.0,null],[20.3,0.0,null],[25.4,0.0,null],[30.5,0.0,null],[35.6,0.0,null],[40.7,0.0,null],[45.8,0.0,null],[50.8,0.0,null],[55.9,0.0,null],[61.0,0.0,null]]",0,,0.0
2026-08-02T16:34:07+00:00,3266805,FAVORITO_CONFIRMADO_5MIN_ALTACONVICCION,BTC#5min,BUY_YES,candidato_evaluacion,0.71,1.05,0.0,"[[5.0,0.0,null],[10.1,0.0,null],[15.2,0.0,null],[20.2,0.0,null],[25.3,0.0,null],[30.4,0.0,null],[35.5,0.0,null],[40.6,0.0,null],[45.7,0.0,null],[50.8,0.0,null],[55.9,0.0,null],[61.0,0.0,null]]",0,,0.0
