timestamp_utc,trade_timestamp,condition_id,market_slug,lado_mayoria,n_votos_trigger,precio_trigger,ratio_deteccion,ask_deteccion,ratio_decision,ask_decision,degradacion_ask_pct,sigue_fillable_en_decision,en_zona_confirmada,registrada_prediccion
2026-08-27T17:55:45+00:00,2026-08-27T17:54:40.690+00:00,0xd52ae601b48987359a209e27677f9da6383af8bae077b49f05dce3558dda0c3d,btc-updown-5m-1787853300,Up,6,0.5199999724503265,0.0,0.66,0.0,0.59,-10.61,0,0,0
2026-08-27T18:03:05+00:00,2026-08-27T17:59:30.913+00:00,0x9544c37298e224c24c2c583156653bc496bc91e3b3b40b20d5892bf87464c76e,btc-updown-5m-1787853600,Down,14,0.5,0.0,0.96,0.0,0.97,1.04,0,0,0
2026-08-27T18:05:23+00:00,2026-08-27T18:04:07.402+00:00,0x32526781cc743bb6ac9ad4a7633f25b98a18d6bf0cb08d8d15c9f9ad8b7d2e39,btc-updown-5m-1787853900,Down,8,0.4761961031030058,29.4,0.47,2133.5,0.41,-12.77,1,0,0
2026-08-27T18:10:16+00:00,2026-08-27T18:09:17.005+00:00,0x514ff0766aae504e9a7ac53108879cf40e937d02425654d97f5be7d4f011ed56,btc-updown-5m-1787854200,Down,2,0.5,0.0,0.53,0.0,0.56,5.66,0,0,0
2026-08-27T18:16:51+00:00,2026-08-27T18:14:07.338+00:00,0x416d1719b02b4c06466ecd69fdc661f1869b88362be338c7f010d037c3232eb7,btc-updown-5m-1787854500,Down,11,0.4799999933701654,0.0,0.66,0.0,0.6,-9.09,0,0,0
2026-08-27T18:21:38+00:00,2026-08-27T18:19:04.624+00:00,0x5994c00358027f1e33eb442ab84c496e212267735f24dca0a9ce55f375698b69,btc-updown-5m-1787854800,Down,13,0.47,0.0,0.88,0.0,0.86,-2.27,0,0,0
2026-08-27T18:26:26+00:00,2026-08-27T18:24:09.154+00:00,0xa46f3241e0f593b591f2b3f505af251f12dd4bcb71823c8f1409350fd4337f08,btc-updown-5m-1787855100,Down,7,0.49,2042.7,0.42,1685.6,0.47,11.9,1,0,0
2026-08-27T18:31:11+00:00,2026-08-27T18:29:22.547+00:00,0x5b957467c037fc15e74dadee8bbc37677bdf3829a1c6e91aab95abba686e6c5d,btc-updown-5m-1787855400,Down,7,0.4799999891389059,483.6,0.47,783.6,0.47,0.0,1,0,0
2026-08-27T18:35:25+00:00,2026-08-27T18:34:19.603+00:00,0x8a0347bffc450def70c5324a9d96c015746f2f9ed8335181bb72ac3cd536dfaf,btc-updown-5m-1787855700,Down,3,0.48,4254.3,0.29,4384.2,0.26,-10.34,1,0,0
2026-08-27T18:40:40+00:00,2026-08-27T18:39:15.732+00:00,0xf114a076bab9886d16370bd645f1a37903ba93cd76510f4f7787aba055e3a0a6,btc-updown-5m-1787856000,Down,4,0.4899999856764101,3390.0,0.36,3007.9,0.38,5.56,1,0,0
2026-08-27T18:46:06+00:00,2026-08-27T18:44:04.021+00:00,0xdbf7b5adf8cb8374f0e5bfd00d8f0a7cbbb8a7d5c97f0cb4120ec422ee347b98,btc-updown-5m-1787856300,Up,6,0.51,2196.8,0.47,0.0,0.56,19.15,0,0,0
2026-08-27T18:51:22+00:00,2026-08-27T18:49:10.019+00:00,0x7f978c3f59c87f7787bf0351b5299d818c99ff694aca2fb166762539ff8e2f73,btc-updown-5m-1787856600,Down,9,0.49,0.0,0.63,0.0,0.68,7.94,0,0,0
2026-08-27T18:56:03+00:00,2026-08-27T18:54:35.500+00:00,0x133e447e1471293a61bda534ff56756dbb5ba5efcda0b0f92963a837b339ca73,btc-updown-5m-1787856900,Down,6,0.5099999715857118,0.0,0.66,0.0,0.67,1.52,0,0,0
2026-08-27T19:03:20+00:00,2026-08-27T18:59:05.298+00:00,0x1ba02b48b421ec860cd1b854413022add49fdbd017d7cf8a1904e1360f532fdc,btc-updown-5m-1787857200,Down,8,0.48,2333.9,0.36,2964.6,0.33,-8.33,1,0,0
2026-08-27T19:10:43+00:00,2026-08-27T19:09:09.552+00:00,0x6a52deedec15a8d6ac9e1d824874965d91b5a2791a15152ffa0af5be56ac3b88,btc-updown-5m-1787857800,Up,5,0.4899999955512319,3652.3,0.27,3497.1,0.29,7.41,1,0,0
2026-08-27T19:16:21+00:00,2026-08-27T19:14:32.974+00:00,0xa5d8127ecdfe9c8657dc890cc2ef0ceccc43d81e9a81813b7b2567328bb979b0,btc-updown-5m-1787858100,Up,10,0.5,5343.5,0.17,5291.9,0.16,-5.88,1,0,0
