resolution_ts,strategy,subtype,market_id,decision,taker_price,limit_price,filled,n_trades_vistos,acierto,pnl1_taker,pnl1_maker
2026-07-02T11:02:23+00:00,GBM_LATE_15M,BTC#15min,2755017,BUY_NO,0.435,0.415,1,500,0,-1.0,-1.0
2026-07-02T11:03:44+00:00,GBM_LATE_15M,ETH#15min,2755009,BUY_NO,0.395,0.375,1,500,0,-1.0,-1.0
2026-07-02T11:15:42+00:00,GBM_LATE_15M,ETH#15min,2755396,BUY_YES,0.395,0.375,0,400,1,1.5316,0.0
2026-07-02T11:17:02+00:00,GBM_LATE_15M,SOL#15min,2755406,BUY_NO,0.525,0.505,0,234,0,-1.0,0.0
2026-07-02T11:19:39+00:00,GBM_LATE_15M,XRP#15min,2755402,BUY_NO,0.52,0.5,1,231,0,-1.0,-1.0
2026-07-02T11:32:44+00:00,UPDOWN_GBM,BTC#15min,2755435,BUY_YES,0.465,0.445,1,500,1,1.1505,1.2472
2026-07-02T11:32:44+00:00,GBM_LATE_15M,BTC#15min,2755435,BUY_NO,0.515,0.495,1,500,0,-1.0,-1.0
2026-07-02T11:36:43+00:00,GBM_LATE_15M,ETH#15min,2755431,BUY_YES,0.455,0.435,1,500,0,-1.0,-1.0
2026-07-02T11:46:13+00:00,GBM_LATE_15M,XRP#15min,2755578,BUY_YES,0.48,0.46,1,154,1,1.0833,1.1739
2026-07-02T11:46:13+00:00,GBM_LATE_15M,ETH#15min,2755574,BUY_YES,0.275,0.255,1,273,0,-1.0,-1.0
2026-07-02T11:51:30+00:00,UPDOWN_GBM,BTC#15min,2755579,BUY_YES,0.465,0.445,0,500,1,1.1505,0.0
2026-07-02T11:51:30+00:00,GBM_LATE_15M,BTC#15min,2755579,BUY_YES,0.465,0.445,0,500,1,1.1505,0.0
2026-07-02T12:00:41+00:00,UPDOWN_GBM,ETH#15min,2755668,BUY_YES,0.495,0.475,0,131,1,1.0202,0.0
2026-07-02T12:00:41+00:00,GBM_LATE_15M,ETH#15min,2755668,BUY_YES,0.565,0.545,0,131,1,0.7699,0.0
2026-07-02T12:02:01+00:00,GBM_LATE_15M,XRP#15min,2755658,BUY_NO,0.52,0.5,1,137,1,0.9231,1.0
2026-07-02T12:07:18+00:00,GBM_LATE_15M,SOL#15min,2755661,BUY_NO,0.425,0.405,0,212,1,1.3529,0.0
2026-07-02T12:16:38+00:00,GBM_LATE_15M,ETH#15min,2755911,BUY_YES,0.265,0.245,1,337,1,2.7736,3.0816
