market_id,strategy,subtype,direction,precio_plan,precio_limit,mejor_ask_veto,ts_snapshot,end_date,filled,acierto,pnl1_maker
2841433,GBM_LATE_15M,SOL#15min,BUY_YES,0.495,0.49,0.91,2026-07-09T04:33:00+00:00,2026-07-09T04:45:00,0,1,0.0
2841439,GBM_LATE_15M,ETH#15min,BUY_YES,0.505,0.51,0.94,2026-07-09T04:33:01+00:00,2026-07-09T04:45:00,0,1,0.0
2841440,GBM_LATE_15M,XRP#15min,BUY_YES,0.505,0.51,0.94,2026-07-09T04:33:01+00:00,2026-07-09T04:45:00,0,1,0.0
2841506,GBM_LATE_15M,SOL#15min,BUY_YES,0.375,0.38,0.62,2026-07-09T04:50:30+00:00,2026-07-09T05:00:00,0,1,0.0
2843006,GBM_LATE_15M,ETH#15min,BUY_YES,0.455,0.46,0.65,2026-07-09T06:39:59+00:00,2026-07-09T06:45:00,0,1,0.0
2843404,GBM_LATE_15M,XRP#15min,BUY_YES,0.49,0.49,0.66,2026-07-09T06:48:21+00:00,2026-07-09T07:00:00,1,0,-1.0
2843409,GBM_LATE_15M,SOL#15min,BUY_YES,0.445,0.45,0.65,2026-07-09T06:48:21+00:00,2026-07-09T07:00:00,1,1,1.2222
2843413,GBM_LATE_15M,ETH#15min,BUY_YES,0.365,0.36,0.46,2026-07-09T06:48:21+00:00,2026-07-09T07:00:00,1,1,1.7778
2843475,GBM_LATE_15M,XRP#15min,BUY_YES,0.495,0.49,0.53,2026-07-09T07:04:18+00:00,2026-07-09T07:15:00,1,0,-1.0
2843500,GBM_LATE_15M,XRP#15min,BUY_YES,0.495,0.49,0.63,2026-07-09T07:18:54+00:00,2026-07-09T07:30:00,1,0,-1.0
2843511,GBM_LATE_15M,ETH#15min,BUY_YES,0.495,0.49,0.65,2026-07-09T07:18:54+00:00,2026-07-09T07:30:00,1,0,-1.0
2843893,GBM_LATE_15M,SOL#15min,BUY_YES,0.44,0.44,0.52,2026-07-09T09:18:34+00:00,2026-07-09T09:30:00,1,1,1.2727
2843897,GBM_LATE_15M,XRP#15min,BUY_YES,0.505,0.51,0.6,2026-07-09T09:18:34+00:00,2026-07-09T09:30:00,1,1,0.9608
2845590,GBM_LATE_15M,XRP#15min,BUY_YES,0.505,0.51,0.95,2026-07-09T13:03:10+00:00,2026-07-09T13:15:00,0,1,0.0
2845595,GBM_LATE_15M,SOL#15min,BUY_YES,0.51,0.51,0.93,2026-07-09T13:03:10+00:00,2026-07-09T13:15:00,0,1,0.0
2845601,GBM_LATE_15M,ETH#15min,BUY_YES,0.515,0.52,0.93,2026-07-09T13:05:31+00:00,2026-07-09T13:15:00,0,1,0.0
2845662,GBM_LATE_15M,SOL#15min,BUY_YES,0.195,0.2,0.21,2026-07-09T13:18:11+00:00,2026-07-09T13:30:00,1,0,-1.0
2845671,GBM_LATE_15M,ETH#15min,BUY_YES,0.245,0.24,0.34,2026-07-09T13:18:11+00:00,2026-07-09T13:30:00,1,0,-1.0
2845874,GBM_LATE_15M,SOL#15min,BUY_YES,0.525,0.53,0.62,2026-07-09T14:03:50+00:00,2026-07-09T14:15:00,1,0,-1.0
2846239,GBM_LATE_15M,ETH#15min,BUY_YES,0.495,0.49,0.53,2026-07-09T15:48:20+00:00,2026-07-09T16:00:00,1,0,-1.0
2846606,GBM_LATE_15M,XRP#15min,BUY_YES,0.515,0.52,0.64,2026-07-09T16:03:26+00:00,2026-07-09T16:15:00,1,0,-1.0
2846610,GBM_LATE_15M,SOL#15min,BUY_YES,0.655,0.66,0.86,2026-07-09T16:04:56+00:00,2026-07-09T16:15:00,1,0,-1.0
2846609,GBM_LATE_15M,ETH#15min,BUY_YES,0.635,0.64,0.81,2026-07-09T16:06:29+00:00,2026-07-09T16:15:00,1,0,-1.0
2848704,GBM_LATE_15M,ETH#15min,BUY_YES,0.505,0.51,0.7,2026-07-09T17:03:07+00:00,2026-07-09T17:15:00,1,1,0.9608
2848708,GBM_LATE_15M,SOL#15min,BUY_YES,0.495,0.49,0.75,2026-07-09T17:03:07+00:00,2026-07-09T17:15:00,1,1,1.0408
2848711,GBM_LATE_15M,XRP#15min,BUY_YES,0.505,0.51,0.75,2026-07-09T17:03:07+00:00,2026-07-09T17:15:00,0,1,0.0
2848958,GBM_LATE_15M,XRP#15min,BUY_YES,0.495,0.49,0.75,2026-07-09T17:18:01+00:00,2026-07-09T17:30:00,0,1,0.0
2848965,GBM_LATE_15M,SOL#15min,BUY_YES,0.495,0.49,0.83,2026-07-09T17:18:01+00:00,2026-07-09T17:30:00,0,1,0.0
