market_id,strategy,subtype,direction,ts_exec,outcome_real,resultado_nuestro,n_validadas_lado_ganador,n_validadas_lado_perdedor,lag_min_ganador_s,lags_ganador_s
2807054,GBM_LATE_15M,XRP#15min,BUY_YES,2026-07-06T14:34:39+00:00,YES,GANANCIA,44,20,2.0,179.0;172.0;100.0;64.0;2.0;-2.0;-4.0;-7.0;-7.0;-56.0;-64.0;-64.0;-65.0;-71.0;-73.0;-74.0;-91.0;-92.0;-94.0;-100.0;-101.0;-106.0;-107.0;-109.0;-116.0;-119.0;-121.0;-125.0;-127.0;-128.0;-134.0;-136.0;-137.0;-143.0;-145.0;-146.0;-152.0;-152.0;-154.0;-160.0;-161.0;-163.0;-208.0;-262.0
2807200,GBM_LATE_15M,XRP#15min,BUY_YES,2026-07-06T14:49:20+00:00,YES,GANANCIA,16,16,9.0,185.0;74.0;74.0;68.0;62.0;51.0;35.0;35.0;35.0;32.0;32.0;32.0;9.0;-79.0;-121.0;-123.0
2807295,GBM_LATE_15M,SOL#15min,BUY_YES,2026-07-06T15:19:40+00:00,YES,GANANCIA,11,13,72.0,280.0;187.0;103.0;72.0;-98.0;-177.0;-185.0;-246.0;-255.0;-267.0;-269.0
2807305,GBM_LATE_15M,XRP#15min,BUY_NO,2026-07-06T15:28:32+00:00,YES,PERDIDA,4,12,11.0,11.0;-34.0;-40.0;-130.0
2807386,GBM_LATE_15M,ETH#15min,BUY_YES,2026-07-06T15:40:28+00:00,YES,GANANCIA,40,54,15.0,124.0;123.0;123.0;103.0;78.0;76.0;76.0;70.0;67.0;67.0;67.0;67.0;67.0;67.0;66.0;60.0;58.0;58.0;57.0;54.0;52.0;49.0;49.0;49.0;48.0;37.0;21.0;15.0;-27.0;-56.0;-78.0;-164.0;-185.0;-192.0;-194.0;-239.0;-260.0;-272.0;-272.0;-282.0
2807466,GBM_LATE_15M,SOL#15min,BUY_NO,2026-07-06T15:50:56+00:00,YES,PERDIDA,45,29,1.0,296.0;291.0;291.0;288.0;260.0;257.0;257.0;255.0;224.0;182.0;174.0;173.0;155.0;141.0;135.0;134.0;117.0;108.0;107.0;104.0;104.0;99.0;98.0;95.0;95.0;92.0;92.0;92.0;86.0;78.0;69.0;47.0;41.0;38.0;26.0;12.0;12.0;5.0;2.0;-1.0;-6.0;-82.0;-213.0;-220.0;-276.0
2808307,GBM_LATE_15M,SOL#15min,BUY_YES,2026-07-06T16:03:34+00:00,YES,GANANCIA,15,40,1.0,300.0;292.0;289.0;1.0;-26.0;-108.0;-111.0;-149.0;-159.0;-173.0;-177.0;-177.0;-185.0;-185.0;-194.0
2808312,GBM_LATE_15M,ETH#15min,BUY_YES,2026-07-06T16:07:03+00:00,YES,GANANCIA,35,27,1.0,241.0;211.0;169.0;148.0;134.0;101.0;91.0;55.0;53.0;52.0;40.0;37.0;37.0;37.0;37.0;35.0;34.0;34.0;32.0;1.0;-23.0;-28.0;-107.0;-128.0;-130.0;-170.0;-179.0;-181.0;-208.0;-223.0;-236.0;-238.0;-266.0;-277.0;-298.0
2808311,GBM_LATE_15M,XRP#15min,BUY_NO,2026-07-06T16:07:41+00:00,YES,PERDIDA,10,31,3.0,183.0;173.0;3.0;-3.0;-3.0;-6.0;-10.0;-12.0;-36.0;-192.0
2808348,GBM_LATE_15M,ETH#15min,BUY_YES,2026-07-06T16:18:12+00:00,NO,PERDIDA,26,31,4.0,289.0;236.0;205.0;205.0;190.0;167.0;164.0;140.0;133.0;130.0;115.0;95.0;17.0;7.0;5.0;5.0;5.0;4.0;-52.0;-82.0;-89.0;-127.0;-136.0;-142.0;-143.0;-155.0
