timestamp_utc,slug,market_id,condition_id,activo,end_date,restante_s_objetivo,restante_s_real,precio_yes,lado_favorito,best_ask_favorito,ask_usd_le5c,best_bid_favorito,profundidad_favorito_usd,n_niveles_favorito,outcome_real,favorito_gano
2026-07-21T20:16:00+00:00,sol-updown-5m-1784664900,3005833,0x71294cf20ba15d9ea4e6c6d96f57f73f4d21fee3e028b75993f37995f8ff05cc,SOL,5min,2026-07-21T20:20:00+00:00,240,239.9,0.495,Down,0.65,339.07,0.64,10210.94,35,,
2026-07-21T20:17:00+00:00,eth-updown-5m-1784664900,3005824,0x1307dd52c8f47f965cd86adf455740509de3fce7a7166e3b7a85535d5cfacbb7,ETH,5min,2026-07-21T20:20:00+00:00,180,179.8,0.505,Up,0.26,193.75,0.25,21794.87,74,,
2026-07-21T20:17:00+00:00,xrp-updown-15m-1784664900,3005831,0x358b1dce67514610dbd9bd28f3ff6170bf16353d55a592a8bf1d7d7b900e41f0,XRP,15min,2026-07-21T20:30:00+00:00,780,779.7,0.555,Up,0.53,188.35,0.52,12260.93,32,,
2026-07-21T20:21:00+00:00,sol-updown-5m-1784665200,3005843,0xc7dd890ba6e557b55ce8e547242f8b0bb9e1fde341852d691b5b68749061e5ee,SOL,5min,2026-07-21T20:25:00+00:00,240,239.9,0.5,Up,0.46,81.68,0.45,18289.32,54,,
2026-07-21T20:22:00+00:00,eth-updown-5m-1784665200,3005847,0x6cb142afd1e1de6cd632069c846d0af0f7483a9f725dec07416b5920f118617a,ETH,5min,2026-07-21T20:25:00+00:00,180,179.8,0.505,Up,0.21,203.42,0.2,11448.55,79,,
2026-07-21T20:22:00+00:00,sol-updown-15m-1784664900,3005829,0xbd5292ac28fe014f2325e641efbfdb0e0c2fafb3234879430f1d056f6d326e76,SOL,15min,2026-07-21T20:30:00+00:00,480,479.7,0.495,Down,0.76,531.52,0.75,10993.7,24,,
2026-07-21T20:25:00+00:00,eth-updown-15m-1784664900,3005826,0x495412d459ed1e13de02a8ad7a87230b09f8618d8e127213e0dfc91e0593e68a,ETH,15min,2026-07-21T20:30:00+00:00,300,299.9,0.525,Up,0.42,188.92,0.41,15091.82,58,,
2026-07-21T20:26:00+00:00,sol-updown-5m-1784665500,3005851,0x588ee5cfd7c46172bb30c5e80a38c1ba13410fb79d85b89dd8615ad37eb0e3bf,SOL,5min,2026-07-21T20:30:00+00:00,240,239.9,0.5,Up,0.71,217.22,0.7,18955.5,29,,
2026-07-21T20:27:00+00:00,eth-updown-5m-1784665500,3005852,0x853d1a0ad26899c08c9b8f75cb9dce17a96ea5cfbb28b4233881d92432b7188e,ETH,5min,2026-07-21T20:30:00+00:00,180,179.9,0.505,Up,0.47,372.19,0.46,25521.62,53,,
2026-07-21T20:29:00+00:00,btc-updown-15m-1784664900,3005821,0x783a059297652d20a782c200cbcce86d25ddb6742ef69c348f42d3f6478d67b8,BTC,15min,2026-07-21T20:30:00+00:00,60,59.9,0.115,Down,0.99,1078.36,0.98,1078.36,1,,
2026-07-21T20:31:00+00:00,sol-updown-5m-1784665800,3005863,0xe2f7b5fc5114d47efc8f5b61d019179cca7621128694ffc8a948c34e3e9d4a57,SOL,5min,2026-07-21T20:35:00+00:00,240,239.9,0.505,Up,0.67,84.49,0.64,19244.65,33,,
2026-07-21T20:32:00+00:00,eth-updown-5m-1784665800,3005861,0xe2fe1613691a4f62c4e7b5be90a2876bf7eb0d88384e6bd4e150e80fe1092a8e,ETH,5min,2026-07-21T20:35:00+00:00,180,179.8,0.505,Up,0.87,1007.8,0.86,17771.86,13,,
2026-07-21T20:32:00+00:00,xrp-updown-15m-1784665800,3005871,0x70b731469e92bb8ba631182fdf3ca74bcaa05963338003ebc18db41cac5ac430,XRP,15min,2026-07-21T20:45:00+00:00,780,779.7,0.565,Up,0.61,115.02,0.6,2019.37,20,,
2026-07-21T20:36:00+00:00,sol-updown-5m-1784666100,3005918,0x1d68c8fada59dd477720d0136d7670777e7e24c9525225e35a46e6abc44683ef,SOL,5min,2026-07-21T20:40:00+00:00,240,239.9,0.675,Up,0.75,343.12,0.74,17455.32,25,,
