ts_deteccion_utc,market_id,activo,ventana_min,direccion,lag_apertura_s,restante_s,py_ask_yes,profundidad_ratio,profundidad_ask
2026-08-21T05:41:28+00:00,3737130,BTC,5,BUY_NO,56.26,243.7,0.42,0.0,0.87
2026-08-21T05:44:47+00:00,3737137,SOL,5,BUY_YES,122.45,177.6,0.96,,
2026-08-21T05:46:01+00:00,3737147,BTC,5,BUY_NO,52.95,247.0,0.26,551.5,0.76
2026-08-21T05:46:00+00:00,3737144,BTC,15,BUY_NO,9.96,890.0,0.37,,
2026-08-21T05:47:44+00:00,3737152,SOL,5,BUY_YES,60.21,239.8,0.87,,
2026-08-21T05:51:12+00:00,3737157,BTC,5,BUY_YES,4.35,295.7,0.76,0.0,0.89
2026-08-21T05:55:09+00:00,3737434,SOL,5,BUY_YES,9.82,290.2,0.56,109.0,0.56
2026-08-21T05:55:12+00:00,3737437,BTC,5,BUY_YES,11.22,288.8,0.61,815.0,0.6
2026-08-21T06:00:02+00:00,3737464,SOL,5,BUY_YES,2.11,297.9,0.72,670.0,0.58
2026-08-21T06:00:03+00:00,3737450,BTC,5,BUY_NO,3.85,296.2,0.44,0.0,0.64
2026-08-21T06:00:04+00:00,3737455,BTC,15,BUY_NO,2.15,897.9,0.44,0.0,0.59
2026-08-21T06:03:23+00:00,3737450,BTC,5,BUY_YES,203.2,96.8,0.59,435.3,0.57
2026-08-21T06:05:02+00:00,3737506,BTC,5,BUY_NO,2.03,298.0,0.43,24.7,0.59
2026-08-21T06:05:48+00:00,3737506,BTC,5,BUY_YES,48.61,251.4,0.63,658.7,0.63
2026-08-21T06:07:19+00:00,3737503,SOL,5,BUY_YES,139.56,160.4,0.58,18.1,0.58
2026-08-21T06:10:10+00:00,3737536,BTC,5,BUY_NO,10.64,289.4,0.41,0.0,0.62
2026-08-21T06:15:02+00:00,3737547,SOL,5,BUY_YES,2.0,298.0,0.83,140.2,0.83
2026-08-21T06:15:03+00:00,3737544,BTC,5,BUY_YES,3.83,296.2,0.56,0.0,0.59
2026-08-21T06:20:02+00:00,3737563,BTC,5,BUY_NO,2.01,298.0,0.38,409.4,0.63
2026-08-21T06:20:27+00:00,3737551,BTC,15,BUY_NO,327.0,573.0,0.45,175.6,0.56
2026-08-21T06:21:10+00:00,3737563,BTC,5,BUY_YES,70.83,229.2,0.58,421.8,0.58
2026-08-21T06:21:15+00:00,3737565,SOL,5,BUY_YES,74.99,225.0,0.55,143.1,0.55
2026-08-21T06:25:02+00:00,3737989,BTC,5,BUY_YES,2.01,298.0,0.77,843.8,0.77
2026-08-21T06:25:02+00:00,3737992,SOL,5,BUY_YES,2.02,298.0,0.55,131.0,0.53
2026-08-21T06:30:02+00:00,3738004,BTC,15,BUY_NO,2.02,898.0,0.43,8.4,0.59
2026-08-21T06:30:03+00:00,3738003,BTC,5,BUY_NO,2.34,297.7,0.36,47.6,0.67
2026-08-21T06:30:30+00:00,3738003,BTC,5,BUY_YES,30.79,269.2,0.55,860.3,0.55
2026-08-21T06:31:31+00:00,3738007,SOL,5,BUY_YES,91.32,208.7,0.55,178.4,0.51
2026-08-21T06:35:05+00:00,3738052,BTC,5,BUY_NO,5.08,294.9,0.45,233.1,0.56
2026-08-21T06:35:44+00:00,3738051,SOL,5,BUY_YES,43.96,256.0,0.55,82.6,0.55
2026-08-21T06:35:59+00:00,3738052,BTC,5,BUY_YES,59.92,240.1,0.56,583.2,0.56
2026-08-21T06:40:02+00:00,3738182,SOL,5,BUY_YES,2.05,297.9,0.69,424.3,0.63
2026-08-21T06:40:02+00:00,3738180,BTC,5,BUY_YES,2.07,297.9,0.65,641.7,0.63
2026-08-21T06:41:14+00:00,3738180,BTC,5,BUY_NO,74.78,225.2,0.45,362.3,0.56
2026-08-21T06:45:04+00:00,3738293,BTC,5,BUY_NO,2.97,297.0,0.33,0.0,0.74
2026-08-21T06:45:06+00:00,3738288,BTC,15,BUY_NO,2.97,897.0,0.39,0.0,0.65
2026-08-21T06:48:01+00:00,3738297,SOL,5,BUY_YES,181.53,118.5,0.55,57.5,0.55
2026-08-21T06:48:48+00:00,3738293,BTC,5,BUY_YES,228.88,71.1,0.55,194.6,0.54
2026-08-21T06:50:10+00:00,3738316,BTC,5,BUY_NO,10.44,289.6,0.45,1656.2,0.52
2026-08-21T06:50:15+00:00,3738316,BTC,5,BUY_YES,15.2,284.8,0.56,344.0,0.56
