fecha,address,categoria,pnl_dia,n_cierres
2026-09-14,0x2070F45C22E44a52CB42210d1112a0Bfb6A9A0c7,otros,880.413,304
2026-09-14,0xB91a9C277b0d26A5ea763994152CB35AB725360E,otros,985.2925,249
2026-09-14,0xC914238Dde217bc37F768B9eE5F8FBF973aeD746,otros,-46.8477,63
2026-09-14,0x4A2479F81FC411ade23a50e2425786C248346936,otros,487.3778,28
2026-09-14,0xB6287efe7A7702402dd8342963DBEfE51e44F2EB,otros,-9147.7998,320
2026-09-14,0xFAd25C3098FCb4F2Ad68039204A4011261824ce6,otros,2694.4701,423
2026-09-14,0xD111a21BCc7dF8bB78497B06C7A2c114C3a9eBdC,otros,2.2897,220
2026-09-14,0xa5dD645f2367C990e7d993E46F28870Bd5812E4f,otros,4402.0522,5
2026-09-14,0x4c4f4d655B77c4d1cB4343AF6c54c2Ec8f4022b4,memecoins,173.271,127
2026-09-14,0xa5dD645f2367C990e7d993E46F28870Bd5812E4f,metales_petroleo,97.7931,6
2026-09-14,0xB91a9C277b0d26A5ea763994152CB35AB725360E,metales_petroleo,-150.7414,56
2026-09-14,0xC914238Dde217bc37F768B9eE5F8FBF973aeD746,metales_petroleo,29.7423,5
2026-09-14,0x4A2479F81FC411ade23a50e2425786C248346936,metales_petroleo,-74.7387,10
2026-09-14,0x0034DC43DeACf5060035Db189A094568Dad45b7F,metales_petroleo,-388.7976,211
2026-09-14,0x8448d8263B6131d1a8eBE93EAC553804f60300Ec,metales_petroleo,28.1885,8
2026-09-14,0xD285Df4Ae3ED22E53308EbA5371c4D1C4849706b,otros,944.4271,265
2026-09-14,0xD285Df4Ae3ED22E53308EbA5371c4D1C4849706b,memecoins,-28.2106,7
2026-09-14,0x4c4f4d655B77c4d1cB4343AF6c54c2Ec8f4022b4,metales_petroleo,-1.3309,1
2026-09-15,0x4c4f4d655B77c4d1cB4343AF6c54c2Ec8f4022b4,otros,233.0901,224
2026-09-15,0x4c4f4d655B77c4d1cB4343AF6c54c2Ec8f4022b4,memecoins,-78.7862,131
2026-09-15,0x4c4f4d655B77c4d1cB4343AF6c54c2Ec8f4022b4,metales_petroleo,336.5471,1317
2026-09-15,0x0034DC43DeACf5060035Db189A094568Dad45b7F,otros,-6717.2415,1318
2026-09-15,0x0034DC43DeACf5060035Db189A094568Dad45b7F,metales_petroleo,449.717,653
2026-09-15,0x0034DC43DeACf5060035Db189A094568Dad45b7F,memecoins,-990.9501,543
2026-09-15,0x8448d8263B6131d1a8eBE93EAC553804f60300Ec,otros,1187.0794,204
2026-09-15,0xfc1B24B1749F71b797029C34F5fa30D528539107,otros,1839.5469,407
2026-09-15,0xfc1B24B1749F71b797029C34F5fa30D528539107,metales_petroleo,453.399,584
2026-09-15,0x2070F45C22E44a52CB42210d1112a0Bfb6A9A0c7,otros,236.6038,618
2026-09-15,0xB91a9C277b0d26A5ea763994152CB35AB725360E,otros,-4039.2882,176
2026-09-15,0xB91a9C277b0d26A5ea763994152CB35AB725360E,metales_petroleo,-688.4877,365
2026-09-15,0xC914238Dde217bc37F768B9eE5F8FBF973aeD746,otros,-142.7112,78
2026-09-15,0x4A2479F81FC411ade23a50e2425786C248346936,metales_petroleo,-44.0469,4
2026-09-15,0xB6287efe7A7702402dd8342963DBEfE51e44F2EB,otros,11290.7201,450
2026-09-15,0xD111a21BCc7dF8bB78497B06C7A2c114C3a9eBdC,otros,684.4381,143
2026-09-15,0x8448d8263B6131d1a8eBE93EAC553804f60300Ec,metales_petroleo,-413.4299,4
2026-09-15,0xa5dD645f2367C990e7d993E46F28870Bd5812E4f,metales_petroleo,18021.1754,54
2026-09-15,0x4A2479F81FC411ade23a50e2425786C248346936,otros,572.1066,56
2026-09-15,0xC914238Dde217bc37F768B9eE5F8FBF973aeD746,memecoins,-16.4223,42
2026-09-15,0xa5dD645f2367C990e7d993E46F28870Bd5812E4f,otros,-2167.4584,3
2026-09-15,0xFAd25C3098FCb4F2Ad68039204A4011261824ce6,memecoins,204.3292,81
2026-09-15,0xFAd25C3098FCb4F2Ad68039204A4011261824ce6,otros,1082.978,250
2026-09-15,0x44a3E929C68Fe1441583549f64abC72E278E6E49,otros,10722.4476,46
2026-09-16,0x4c4f4d655B77c4d1cB4343AF6c54c2Ec8f4022b4,otros,-610.0674,184
2026-09-16,0x4c4f4d655B77c4d1cB4343AF6c54c2Ec8f4022b4,metales_petroleo,-262.5426,378
2026-09-16,0x0034DC43DeACf5060035Db189A094568Dad45b7F,otros,-3328.7097,2266
2026-09-16,0x0034DC43DeACf5060035Db189A094568Dad45b7F,metales_petroleo,-3187.1266,279
2026-09-16,0x0034DC43DeACf5060035Db189A094568Dad45b7F,memecoins,51.5298,58
2026-09-16,0x8448d8263B6131d1a8eBE93EAC553804f60300Ec,otros,-1686.6814,423
2026-09-16,0xa5dD645f2367C990e7d993E46F28870Bd5812E4f,metales_petroleo,883.8274,35
2026-09-16,0xfc1B24B1749F71b797029C34F5fa30D528539107,otros,-7446.9346,670
2026-09-16,0xfc1B24B1749F71b797029C34F5fa30D528539107,metales_petroleo,242.0731,56
2026-09-16,0x2070F45C22E44a52CB42210d1112a0Bfb6A9A0c7,otros,759.1696,553
2026-09-16,0xB91a9C277b0d26A5ea763994152CB35AB725360E,otros,-1142.6892,85
2026-09-16,0xB91a9C277b0d26A5ea763994152CB35AB725360E,metales_petroleo,22.5966,9
2026-09-16,0xC914238Dde217bc37F768B9eE5F8FBF973aeD746,otros,434.1899,91
2026-09-16,0xC914238Dde217bc37F768B9eE5F8FBF973aeD746,memecoins,-24.9834,19
2026-09-16,0xB6287efe7A7702402dd8342963DBEfE51e44F2EB,otros,-10951.6047,503
2026-09-16,0x4A2479F81FC411ade23a50e2425786C248346936,otros,5245.486,30
