timestamp_utc,slug,market_id,condition_id,activo,ventana_min,end_date,restante_s,strike,strike_src,spot,spot_src,dist_pct,lado_rezagado,best_ask,ask_usd_le2c,ask_usd_le3c,ask_usd_le5c,best_bid,py_yes_evento,outcome_real,rezagado_gano
2026-08-30T00:14:50+00:00,bnb-updown-15m-1788048000,3963596,0x1c468e79799e162b8e2756f39936a33a976f0750f4318e95d565a754216c987a,BNB,15,2026-08-30T00:15:00+00:00,9.5,692.58,kline_open,692.16,binance_ticker,-0.06064,Up,0.001,5.1,5.25,5.7,,0.015,Down,0
2026-08-30T00:19:49+00:00,btc-updown-5m-1788048900,3963684,0xdf28b8983fd75ea827d6bd9289862412bd7d3e3ed0f51c49aa07532197248340,BTC,5,2026-08-30T00:20:00+00:00,10.2,78177.5,kline_open,78278.92,binance_ticker,0.12973,Down,0.001,171.34,176.18,177.56,,0.995,Up,0
2026-08-30T00:19:49+00:00,bnb-updown-5m-1788048900,3963683,0x4642e53671b9a443e9f71339c64f0e264758deda6c5e38fd71b91e54fee641ce,BNB,5,2026-08-30T00:20:00+00:00,10.2,692.26,kline_open,692.9,binance_ticker,0.09245,Down,0.001,19.04,20.09,21.04,,0.995,Up,0
2026-08-30T00:24:51+00:00,btc-updown-5m-1788049200,3963733,0xab60cc0a9025db2db79ec440d77eb0e5c4c1efd8c8b3d3444806dec9dade1e92,BTC,5,2026-08-30T00:25:00+00:00,8.1,78284.85,kline_open,78209.41,binance_ticker,-0.09637,Up,0.001,125.58,132.84,146.94,,0.0005,Down,0
2026-08-30T00:24:52+00:00,eth-updown-5m-1788049200,3963727,0xbadaa6b4a54b7655f152dd6482ad1592ed1dc2523979738191fc30ac9f7c4181,ETH,5,2026-08-30T00:25:00+00:00,7.9,2464.08,kline_open,2461.5,binance_ticker,-0.1047,Up,0.01,110.24,117.85,123.11,,0.245,Down,0
2026-08-30T00:24:51+00:00,bnb-updown-5m-1788049200,3963732,0x302a5e72d10c138e4e5fc4dc29723af0e35fade3f024b18c18d70c08b3928cd5,BNB,5,2026-08-30T00:25:00+00:00,8.1,692.9,kline_open,692.87,binance_ticker,-0.00433,Up,,0,0,0,0.99,0.875,Up,1
2026-08-30T00:29:48+00:00,btc-updown-5m-1788049500,3963820,0xfd670a9579a9072121427eca11d6645e1d8f106ed8891ea216cb91ea148d1317,BTC,5,2026-08-30T00:30:00+00:00,11.3,78213.07,kline_open,78216.52,binance_ticker,0.00441,Down,0.01,40.34,51.14,60.04,,0.915,Up,0
2026-08-30T00:29:48+00:00,eth-updown-5m-1788049500,3963818,0x403bc16943762eee2bde7e6a574b6373b30e692626494551c13cd15424837a91,ETH,5,2026-08-30T00:30:00+00:00,11.3,2461.84,kline_open,2462.32,binance_ticker,0.0195,Down,0.01,41.8,47.7,48.7,,0.585,Up,0
2026-08-30T00:29:48+00:00,sol-updown-5m-1788049500,3963821,0x09ff1a6ee21006e464ff1dac6b13e4d8d66fcf9582e230f52317fbef06a66c0f,SOL,5,2026-08-30T00:30:00+00:00,11.1,105.36,kline_open,105.35,binance_ticker,-0.00949,Up,0.01,24.47,25.67,33.42,,0.005,Down,0
2026-08-30T00:29:48+00:00,xrp-updown-5m-1788049500,3963823,0xa2780f0bf6f57e8fcc557da8f0ac3abae5bd85ff8921b6e08efa9f6c67044628,XRP,5,2026-08-30T00:30:00+00:00,11.3,1.3959,kline_open,1.3954,binance_ticker,-0.03582,Up,0.01,12.01,12.01,13.71,,0.005,Down,0
2026-08-30T00:29:48+00:00,doge-updown-5m-1788049500,3963824,0x348b9c27d088cf88f4b51012eda232a2fe82127806974e131bb89e72bd79d7e1,DOGE,5,2026-08-30T00:30:00+00:00,11.3,0.08525,kline_open,0.08523,binance_ticker,-0.02346,Up,0.01,9.46,9.46,11.06,,0.495,Down,0
2026-08-30T00:29:48+00:00,bnb-updown-5m-1788049500,3963817,0x5fa6eb29e75cf967050b398024f0e824f1e8c34854b8b4d3346326369c14fe8f,BNB,5,2026-08-30T00:30:00+00:00,11.3,692.86,kline_open,692.48,binance_ticker,-0.05485,Up,0.01,25.93,26.98,29.73,,0.49,Down,0
2026-08-30T00:29:48+00:00,btc-updown-15m-1788048900,3963687,0xd500edc7ce404fea7db3660c60c4a51f91aa8f96cda5389b32586cdbae25dfb6,BTC,15,2026-08-30T00:30:00+00:00,11.3,78177.5,kline_open,78216.52,binance_ticker,0.04991,Down,0.001,76.67,81.76,86.64,,0.985,Up,0
2026-08-30T00:29:48+00:00,sol-updown-15m-1788048900,3963686,0xb39cd75d9f5d08b5f56c74e7ea52ff58cd7dacbd67ae1e74381d4f4860267e67,SOL,15,2026-08-30T00:30:00+00:00,11.1,105.33,kline_open,105.35,binance_ticker,0.01899,Down,0.01,19.46,24.56,30.06,,0.755,Up,0
2026-08-30T00:29:48+00:00,xrp-updown-15m-1788048900,3963680,0x3b5e6b5cd13ed46bfb24ae8fb4a73ee43bcbaef28db5cf6929281f70a587e91b,XRP,15,2026-08-30T00:30:00+00:00,11.1,1.3943,kline_open,1.3954,binance_ticker,0.07889,Down,0.001,10.38,10.53,13.02,,0.89,Up,0
2026-08-30T00:29:48+00:00,doge-updown-15m-1788048900,3963691,0x21d224820c1aa5f2bf66d1a9378921ad8cd70cfeeae9d94f623b5215c1329649,DOGE,15,2026-08-30T00:30:00+00:00,11.1,0.08522,kline_open,0.08523,binance_ticker,0.01173,Down,0.01,14.63,14.78,15.73,,0.995,Up,0
2026-08-30T00:29:48+00:00,bnb-updown-15m-1788048900,3963692,0x183929faa3fceda6328f3e8189b29e662a0c4fec211f9020d4650d49e5130c23,BNB,15,2026-08-30T00:30:00+00:00,11.3,692.26,kline_open,692.48,binance_ticker,0.03178,Down,0.001,5.07,5.22,5.67,,0.9995,Up,0
2026-08-30T00:34:49+00:00,btc-updown-5m-1788049800,3963845,0x1517e194e8b348b4eb4c6316f6410c61f66a8c968c426d223473a86ebe939b30,BTC,5,2026-08-30T00:35:00+00:00,10.2,78216.52,kline_open,78214.1,binance_ticker,-0.00309,Up,0.01,50.86,61.39,67.54,,0.205,Down,0
2026-08-30T00:34:49+00:00,eth-updown-5m-1788049800,3963843,0x6d055044d3ffa2b16287d302edf32ce465ec7df16d09437b53ca3fbffd17e499,ETH,5,2026-08-30T00:35:00+00:00,10.2,2462.64,kline_open,2460.3,binance_ticker,-0.09502,Up,0.01,80.69,88.6,93.59,,0.47,Down,0
2026-08-30T00:34:50+00:00,sol-updown-5m-1788049800,3963842,0x0f37091bb36c6e563e6140092132c20cadf2e70a198c06440293599bd70a2fe0,SOL,5,2026-08-30T00:35:00+00:00,9.9,105.35,kline_open,105.34,binance_ticker,-0.00949,Up,0.01,42.03,42.03,45.28,,0.34,Down,0
2026-08-30T00:34:49+00:00,xrp-updown-5m-1788049800,3963844,0xedaf3a4c59e8b239ca2b50070bf7de29190e8cf74061bce1ed2f80cc3b161395,XRP,5,2026-08-30T00:35:00+00:00,10.2,1.3954,kline_open,1.3951,binance_ticker,-0.0215,Up,0.01,10.84,10.84,13.99,,0.49,Down,0
2026-08-30T00:34:49+00:00,doge-updown-5m-1788049800,3963835,0x0a4d6cb2d16423d8b698aca9f8649f634ddc31b619f9cfcce9e4948069a70d61,DOGE,5,2026-08-30T00:35:00+00:00,10.1,0.08523,kline_open,0.08517,binance_ticker,-0.0704,Up,0.01,24.57,24.72,27.27,,0.285,Down,0
2026-08-30T00:34:49+00:00,bnb-updown-5m-1788049800,3963833,0x6a7364ce70a8adfb105a4876b57fa3fb7fba54b17f171c71d9bc413b46d7e777,BNB,5,2026-08-30T00:35:00+00:00,10.2,692.49,kline_open,692.61,binance_ticker,0.01733,Down,0.01,12.55,12.55,13.05,,0.5,Up,0
2026-08-30T00:39:50+00:00,btc-updown-5m-1788050100,3963890,0xb2d0066c544297ee886e1189bd78a992eddebc13f5fb83152083e01e29461618,BTC,5,2026-08-30T00:40:00+00:00,9.9,78214.1,kline_open,78238.0,binance_ticker,0.03056,Down,0.01,174.31,176.58,179.78,,0.995,Up,0
2026-08-30T00:39:50+00:00,eth-updown-5m-1788050100,3963892,0xd109bbb755f6eeab020460a198c079de08b1dc5dab0f6be301726e03ba797566,ETH,5,2026-08-30T00:40:00+00:00,9.6,2460.6,kline_open,2462.22,binance_ticker,0.06584,Down,0.001,82.29,87.13,94.6,,0.98,Up,0
2026-08-30T00:39:50+00:00,sol-updown-5m-1788050100,3963893,0x8bb931462272ea7ef74c3faa0b82780ef377ea35fd3e7f2dad7fb249a57f9867,SOL,5,2026-08-30T00:40:00+00:00,9.8,105.34,kline_open,105.33,binance_ticker,-0.00949,Up,,0,0,0,0.99,0.905,Up,1
2026-08-30T00:39:50+00:00,xrp-updown-5m-1788050100,3963895,0x9be323d78b5b9b7edbb59050a679f698313186e84952902c77e9edae05bdfb35,XRP,5,2026-08-30T00:40:00+00:00,9.6,1.3952,kline_open,1.3958,binance_ticker,0.043,Down,0.01,17.19,17.34,19.97,,0.86,Up,0
