timestamp_utc,window,rank,account,pnl,notional,account_value
2026-09-18T00:00:02+00:00,week,35,0x2Cf120DA2A5a2c44e05922991BEbd3a1565107cc,1031.87273766051,77376.76299500001,11865.563331408706761841885077
2026-09-18T00:00:02+00:00,week,36,0xDdc6D9565c65760E1F9c65f0A20c0d931f037d8B,1017.462780039572,590122.25852,66775.288504261118121915712827
2026-09-18T00:00:02+00:00,week,37,0x921C6f94124EEcDa26437722172fd604ab2A5489,1008.1649893564581,1676979.320371,97492.40321307689438849832589
2026-09-18T00:00:02+00:00,week,38,0xBbd84B616c428bAAc1ad800C7B24c1F66AF68F86,983.4207356064544,19710.79684,0.0000002783981135150342575
2026-09-18T00:00:02+00:00,week,39,0xa0a5144819409cB692496e81F816f21bE7bC9695,981.4930548697986,244046.18024,0.000000154784604999999985
2026-09-18T00:00:02+00:00,week,40,0x1F64f2739A19Fc5cdFD7C3F50c42463aA8983E82,962.4649195046097,401143.5311,58384.528468401102257087291743
2026-09-18T00:00:02+00:00,week,41,0xC699083c815b7F33B8c7f76ccdA1e19A250f5bCd,954.8063541223327,25981317.073597003,205473.67947419406284515440347
2026-09-18T00:00:02+00:00,week,42,0x7966A14cef101D6a3E648e824FB7D63dE83aDAC7,911.092202936215,1678676.9372909996,97524.81277858447829640803292
2026-09-18T00:00:02+00:00,week,43,0x63ee3E4deaA264700A2aEBda62818F81AbB78Aaa,896.9734654766092,387869.64503799996,0.000000476609379999999998
2026-09-18T00:00:02+00:00,week,44,0x3f5C4F9063A11A404039CEa0D9d517f1e5fd9c65,892.3266797594188,1684468.0524389998,97446.68443425513767831322638
2026-09-18T00:00:02+00:00,week,45,0x24597d15D4E4dCA29911b7441f8020215284dD11,873.3785926849309,1665761.4118749998,97587.62976996719025651039572
2026-09-18T00:00:02+00:00,week,46,0x8281204ECdEbf8899Aa8167434dC8275e0c02E1d,856.2924239548194,1682088.1558720001,97624.62905900272640218264073
2026-09-18T00:00:02+00:00,week,47,0xC9D611489Bd9fbD077B693516A51822986E82cF7,761.4446880992192,61030.73298399999,16390.574695221681497597803184
2026-09-18T00:00:02+00:00,week,48,0x97df43442C4413AB34F14243F46d3F6Ffc274627,748.6270707905445,9225754.498502003,198099.86681100578009556100534
2026-09-18T00:00:02+00:00,week,49,0xdb86a0DF31cD03cd092CcF7F2Db15D601038826A,747.0085211109058,684572.3435240004,78486.278952655455653664566083
2026-09-18T00:00:02+00:00,week,50,0x8FE7cbeF7F36816c260eE69d34FE5846D86c1934,707.9145098920345,307224.235505,3757.7462445202072851664098007
2026-09-18T00:00:02+00:00,all,1,0x4c4f4d655B77c4d1cB4343AF6c54c2Ec8f4022b4,810711.6568360042,999789369.5439935,4121016.6140870719029503474362
2026-09-18T00:00:02+00:00,all,2,0x7930Ee98013FA1aEaC08872A88E677dc925aD132,484991.1268803217,4374214199.120368,4377151.7628865081050558059326
