ts_deteccion_utc,market_id,condition_id,activo,marco,restante_s,lado,ask_lado,mejor_ask_deteccion,profundidad_eur_deteccion,ratio_vs_stake_deteccion
2026-08-31T16:53:54+00:00,3975489,0x26f5a7e7bd0709f26d2c2f0f7a931aa095ae05b1e36d49387cd918922ec0370a,BTC,60min,365.2,YES,0.95,0.95,1551.83,1477.9
2026-08-31T16:56:10+00:00,4005111,0xe396fb8ada2a59366a5623dd579ed5e8fadfd7daf9ca9df6875f8d487de9be2e,XRP,15min,229.0,YES,0.98,0.98,349.91,333.2
2026-08-31T16:57:11+00:00,3975510,0x0575d43dcebd5e60d64a5f0fe23b76c794948b4c626c1676d6bd543e2fde1ae4,ETH,60min,168.2,YES,0.954,0.983,39.88,38.0
2026-08-31T17:12:04+00:00,4005830,0xa00c30fc6cb0c7e6829c179da0529ea5f136c47e3f933cecbbeb2745a451dd6f,BTC,15min,175.9,YES,0.96,0.96,1794.81,1709.3
2026-08-31T17:12:04+00:00,4005840,0x833d6649b8f890652b00ac6413d7ef53d915ba5eb9476f38e3c2123c368aa4f2,XRP,15min,175.7,YES,0.99,0.99,35.64,33.9
2026-08-31T17:24:40+00:00,4005951,0x6aa342dbc1069862de2610980c0c014593eb8da1c961c06d91545772f5f4513f,BTC,15min,319.8,NO,0.97,0.97,1744.43,1661.4
2026-08-31T17:25:42+00:00,4005959,0x0cf99ca5d31ace81b86a02bd7c760c53909e094b741da0dd0c5a9865195e4a0d,XRP,15min,257.8,NO,0.98,0.98,92.72,88.3
2026-08-31T17:38:20+00:00,4006800,0xbdfbf5a928b7c1b348aa86bd7cc7979ca62ca3e37577cd1060891696c376b838,BTC,15min,399.3,YES,0.96,0.96,10248.91,9760.9
2026-08-31T17:38:21+00:00,4006812,0x2de2d86675020751a3589b2ae11040545c70e7ff7c16fa2a80d38d97efa7bd9f,XRP,15min,399.0,YES,0.97,0.97,503.5,479.5
2026-08-31T17:47:35+00:00,3976722,0x4a254a9538bbe32a3b40670cf295b6df882548d4552beef9e16c02ca6b0d7999,BTC,60min,744.6,YES,0.95,0.95,2233.75,2127.4
2026-08-31T17:52:08+00:00,3976723,0x0d032f1e0db3e13bb3c95f1c3110bd16048f4ae0c9488aaef155eb467268d35f,ETH,60min,471.0,YES,0.96,0.96,553.15,526.8
2026-08-31T17:58:15+00:00,4007764,0x81d15924aeeeb5d686576771613cb62b9ac0ecf4e15bab6232ce348ece1dc02a,XRP,15min,104.7,YES,0.95,0.95,2618.02,2493.4
2026-08-31T18:09:11+00:00,4007857,0x2a0d4efca183ce924d913c296b1b9084c9c28fe7c3c6d0ec21acd6e2abe24309,XRP,15min,348.1,NO,0.96,0.96,1501.6,1430.1
2026-08-31T18:28:54+00:00,4007924,0x5be4f123372fc1dd59ac1b315dedfa5ae6e8f98eb2fa99bbb956cfaea4688d2d,XRP,15min,65.5,YES,0.99,0.99,5.94,5.7
2026-08-31T18:38:24+00:00,4008025,0xbd8c01c9a2ac63627cbf192c0eb65a4989ac3d67ac4be3122494334f827244d1,XRP,15min,395.5,YES,0.95,0.95,359.54,342.4
2026-08-31T18:40:40+00:00,4008030,0xeae9a081a2cad6418bd0638be7f604afd0d226eb92a2534387c0f062115448fb,BTC,15min,260.0,YES,0.95,0.95,9013.89,8584.7
2026-08-31T18:43:02+00:00,3977509,0x28ec913c92f69b2102bf10bd1ff27e2af3ead3da7cf11d613aaeebe7c52b3ddb,BTC,60min,1017.8,YES,0.95,0.95,1984.98,1890.5
2026-08-31T18:50:24+00:00,4008294,0x26ea4e7151e84fb1ebcd8f2099545c75f33edca7c720f3e2210b39a7acdb8a09,XRP,15min,575.6,NO,0.96,0.96,670.26,638.3
2026-08-31T18:56:31+00:00,4008308,0x0418d804d87ea0a2a0da6714bf2e4eaa529495dc27c9e95fc6d5b467aa2fc6ac,BTC,15min,208.9,NO,0.98,0.98,8601.87,8192.3
2026-08-31T18:57:33+00:00,3977513,0xc03e17375346e697016f363b7a7516c32fcd2d0921cb08d0b5d6cce9442d0eb0,ETH,60min,146.9,YES,0.99,0.99,123.89,118.0
2026-08-31T19:08:43+00:00,4009134,0x3ecf9566e59e5911d8187ee3f9825e160edde52441b5c9b28662b59920b54bbd,BTC,15min,376.5,YES,0.96,0.96,9392.15,8944.9
2026-08-31T19:11:02+00:00,4009125,0x6d51eb9083b76a32a6e21228fcbc1ac2c94ee5885a03cf1ffd2b42e5ce2a6b5c,XRP,15min,237.7,YES,0.99,0.99,34.51,32.9
2026-08-31T19:21:07+00:00,4010358,0x9cc066ed0c44d27393a9bc6d4f720e6e329b46dd90ecbb5640e04b4d91d9a9bb,BTC,15min,532.6,NO,0.95,0.95,2319.24,2208.8
2026-08-31T19:21:58+00:00,4010370,0x1953cbcf594a16c96076220badddf27824a247faa0f3cb369803716913d27720,XRP,15min,481.1,NO,0.97,0.97,668.08,636.3
2026-08-31T19:41:36+00:00,4010521,0xae734f68376b80477e51d953c4126205988cb13ec07524a2c05e8959dd686cdc,BTC,15min,203.6,NO,0.98,0.98,2633.54,2508.1
2026-08-31T19:50:06+00:00,3980601,0xe33503b7e7049f4dacc35e4068d52211d686d397c8e9baca51a98f3c4d7d96cf,ETH,60min,593.4,YES,0.98,0.98,97.69,93.0
2026-08-31T19:55:55+00:00,3980591,0x1f52dba3246ea8cc796d5f4c7cc81e9ccd651c33550ba6395b7482c294431ad8,BTC,60min,244.3,NO,0.98,0.98,1438.45,1369.9
2026-08-31T19:56:05+00:00,4010885,0xae166d36297dde2a927c73fa918a41f69939a9c9300324698c1d55b42275b59c,BTC,15min,234.8,NO,0.96,0.96,15647.6,14902.5
2026-08-31T20:21:37+00:00,4011289,0x08f5d8e43c425362fa94b8f9d79245122c0a89f6332a4e012fc61bceb3540813,BTC,15min,502.2,YES,0.95,0.95,17778.39,16931.8
2026-08-31T20:21:38+00:00,4011285,0x2a421cd698a1d75b0382236eb6a6e3556bcd6f92086b65c888534c7dc0c80ab9,XRP,15min,501.7,YES,0.96,0.96,500.43,476.6
2026-08-31T20:28:54+00:00,4011285,0x2a421cd698a1d75b0382236eb6a6e3556bcd6f92086b65c888534c7dc0c80ab9,XRP,15min,65.1,NO,0.99,0.99,24.69,23.5
2026-08-31T20:36:59+00:00,3982969,0x292f71c82e97d2ae16fa0e0e00f7ef5c6e416d688de45c7b9a84f5a6c1cd5125,ETH,60min,1380.1,NO,0.96,0.96,446.81,425.5
2026-08-31T20:38:22+00:00,4011374,0xc5230577fb9826afd5ab63dd3157736505d5a6b74678ccef186f0e39279f3403,BTC,15min,397.8,NO,0.97,0.97,28816.33,27444.1
