ts_entrada,activo,nesting,combo,coste,n_shares,coste_total_usd,ask_leg1,ask_leg2,gap_opens_pct,depth_usd,min_orden_ok,end_utc,inner_slug,outer_slug,status,ts_cierre,gano_leg1,gano_leg2,payout_por_share,pnl_usd,garantia_ok,pasa_filtro,persistio_ciclo_anterior
2026-07-10T12:57:13+00:00,SOL,5min15m,YESout+NOin,0.79,12.66,10.0014,0.22,0.57,0.0127,11.46,1,2026-07-10T13:00:00+00:00,sol-updown-5m-1783688100,sol-updown-15m-1783687500,CLOSED,2026-07-10T13:02:01+00:00,0,1,1,2.6586,1,0,1
2026-07-10T13:10:12+00:00,SOL,5min15m,NOout+YESin,0.88,11.36,9.9968,0.36,0.52,-0.0127,23.47,1,2026-07-10T13:15:00+00:00,sol-updown-5m-1783689000,sol-updown-15m-1783688400,OPEN,,,,,,,1,0
2026-07-10T13:25:13+00:00,BTC,5min15m,NOout+YESin,0.96,10.42,10.0032,0.74,0.22,-0.1677,135.35,1,2026-07-10T13:30:00+00:00,btc-updown-5m-1783689900,btc-updown-15m-1783689300,OPEN,,,,,,,0,0
2026-07-10T13:25:13+00:00,ETH,5min15m,NOout+YESin,0.34,29.41,9.9994,0.14,0.2,-0.0045,25.83,1,2026-07-10T13:30:00+00:00,eth-updown-5m-1783689900,eth-updown-15m-1783689300,OPEN,,,,,,,1,0
2026-07-10T13:55:13+00:00,SOL,15min60m,NOout+YESin,0.96,10.42,10.0032,0.15,0.81,-0.076,25.73,1,2026-07-10T14:00:00+00:00,sol-updown-15m-1783691100,solana-up-or-down-july-10-2026-9am-et,OPEN,,,,,,,0,1
2026-07-10T14:43:46+00:00,SOL,5min15m,YESout+NOin,0.77,12.99,10.0023,0.44,0.33,0.0,11.0,1,2026-07-10T14:45:00+00:00,sol-updown-5m-1783694400,sol-updown-15m-1783693800,OPEN,,,,,,,0,1
2026-07-10T14:55:14+00:00,ETH,5min15m,YESout+NOin,0.77,12.99,10.0023,0.36,0.41,0.0263,11.3,1,2026-07-10T15:00:00+00:00,eth-updown-5m-1783695300,eth-updown-15m-1783694700,CLOSED,2026-07-10T15:02:01+00:00,0,1,1,2.9877,1,0,0
2026-07-10T15:44:13+00:00,XRP,5min15m,YESout+NOin,0.97,10.31,10.0007,0.01,0.96,0.0,20.43,0,2026-07-10T15:45:00+00:00,xrp-updown-5m-1783698000,xrp-updown-15m-1783697400,CLOSED,2026-07-10T15:47:02+00:00,0,1,1,0.3093,1,1,1
2026-07-10T16:25:10+00:00,BTC,5min15m,YESout+NOin,0.72,13.89,10.0008,0.25,0.47,0.0439,20.05,1,2026-07-10T16:30:00+00:00,btc-updown-5m-1783700700,btc-updown-15m-1783700100,OPEN,,,,,,,0,0
2026-07-10T16:40:12+00:00,BTC,5min15m,YESout+NOin,0.38,26.32,10.0016,0.04,0.34,0.0242,20.15,1,2026-07-10T16:45:00+00:00,btc-updown-5m-1783701600,btc-updown-15m-1783701000,OPEN,,,,,,,1,0
2026-07-10T17:10:14+00:00,ETH,5min15m,YESout+NOin,0.57,17.54,9.9978,0.06,0.51,0.0312,14.33,1,2026-07-10T17:15:00+00:00,eth-updown-5m-1783703400,eth-updown-15m-1783702800,CLOSED,2026-07-10T17:17:01+00:00,0,1,1,7.5422,1,0,0
2026-07-10T17:25:10+00:00,ETH,5min15m,NOout+YESin,0.81,12.35,10.0035,0.16,0.65,-0.1047,74.15,1,2026-07-10T17:30:00+00:00,eth-updown-5m-1783704300,eth-updown-15m-1783703700,OPEN,,,,,,,0,0
2026-07-10T17:26:11+00:00,BTC,5min15m,NOout+YESin,0.96,10.42,10.0032,0.2,0.76,-0.0976,49.45,1,2026-07-10T17:30:00+00:00,btc-updown-5m-1783704300,btc-updown-15m-1783703700,OPEN,,,,,,,0,0
2026-07-10T17:26:11+00:00,SOL,5min15m,NOout+YESin,0.96,10.42,10.0032,0.4,0.56,-0.0385,11.76,1,2026-07-10T17:30:00+00:00,sol-updown-5m-1783704300,sol-updown-15m-1783703700,OPEN,,,,,,,0,1
2026-07-10T17:40:13+00:00,SOL,5min15m,YESout+NOin,0.76,13.16,10.0016,0.36,0.4,0.0129,16.8,1,2026-07-10T17:45:00+00:00,sol-updown-5m-1783705200,sol-updown-15m-1783704600,CLOSED,2026-07-10T17:47:01+00:00,0,1,1,3.1584,1,1,0
2026-07-10T19:25:12+00:00,BTC,5min15m,YESout+NOin,0.57,17.54,9.9978,0.12,0.45,0.0038,53.63,1,2026-07-10T19:30:00+00:00,btc-updown-5m-1783711500,btc-updown-15m-1783710900,OPEN,,,,,,,1,0
2026-07-10T19:25:12+00:00,ETH,5min15m,YESout+NOin,0.68,14.71,10.0028,0.22,0.46,0.0316,20.02,1,2026-07-10T19:30:00+00:00,eth-updown-5m-1783711500,eth-updown-15m-1783710900,OPEN,,,,,,,1,0
2026-07-10T20:10:12+00:00,XRP,5min15m,NOout+YESin,0.93,10.75,9.9975,0.43,0.5,-0.4705,19.78,1,2026-07-10T20:15:00+00:00,xrp-updown-5m-1783714200,xrp-updown-15m-1783713600,OPEN,,,,,,,0,0
