timestamp_utc,activo,market_id,condition_id,delta_ratio,py_deteccion,ratio_deteccion,ask_deteccion,ratio_decision,ask_decision,degradacion_ask_pct,sigue_fillable_en_decision,registrada_prediccion
2026-08-28T12:08:33+00:00,ETH,3930501,0xc387cc443a4863a23f6799a0dd021a6da69372a2fd80a61531a960b9b0cfbf7f,-0.3881,0.45,0.0,0.6,0.0,0.6,0.0,0,0
2026-08-28T12:27:07+00:00,DOGE,3930679,0x8caa7e8f114e6eb4ea47210a725cf687fe6b1ea0f53736c744f58a4bc95d62d8,-0.45,0.47,2.6,0.54,2.6,0.54,0.0,0,0
2026-08-28T13:07:26+00:00,SOL,3931157,0x87bd817124c834a9171d6b8cdffd34d12c3a55919d7eadebba1992f0081a4ce1,-0.4372,0.39,29.1,0.62,0.0,0.66,6.45,0,0
2026-08-28T13:12:06+00:00,SOL,3931169,0x5a8748627e4ed62b4ae6af5bf347fd237d43fdd49d69795e69a00edb60487838,-0.4545,0.5,0.0,0.55,0.0,0.55,0.0,0,0
2026-08-28T13:16:37+00:00,SOL,3931178,0x5bacb8498fcc387e3b30939cfb641e73557377f208a1324d2ed3902610683e73,-0.4009,0.46,0.0,0.58,0.0,0.58,0.0,0,0
2026-08-28T13:22:16+00:00,XRP,3931224,0x324d4b142e10693a630f60ce9ce56b2c6bd0f824e56d64384f9b88fefc881eab,-0.4315,0.43,0.0,0.61,47.8,0.59,-3.28,1,1
2026-08-28T13:26:54+00:00,DOGE,3931264,0xcf942a5d8f99d2f302334639b1c173ea4bff3c7dd49426d9a7323244dad573a6,-0.4003,0.41,0.0,0.66,14.5,0.6,-9.09,1,1
2026-08-28T14:08:13+00:00,DOGE,3931474,0x01246551da7387879b9f1341f8c447dbde97a9fda175a1c2b4b2386d9bc2c298,-0.4376,0.46,0.0,0.63,204.0,0.45,-28.57,1,1
2026-08-28T15:11:38+00:00,BNB,3932328,0xe9a2ae232dafefe425a2b78916684c912144faf9992bca15e2ef3f357a179196,-0.3806,0.49,24.8,0.52,0.0,0.54,3.85,0,0
2026-08-28T15:12:14+00:00,XRP,3932333,0x35a8f446d759636562fe9a1a30ec26caa593925687f848a5b053e42fca936412,-0.3831,0.39,9.0,0.62,0.0,0.69,11.29,0,0
2026-08-28T15:17:07+00:00,XRP,3932341,0x030b4c511f1592e3c241eae5c707ee3649d0d73554d6fc4c7ea6b7a8f8628f73,-0.4567,0.55,26.6,0.46,320.8,0.32,-30.43,1,1
2026-08-28T15:36:37+00:00,XRP,3932511,0x220f85c56220ae09d7eba1fbb8fbd43e552407c14b2da925f95f34a8098eb31c,-0.4008,0.53,30.0,0.48,0.0,0.57,18.75,0,0
