timestamp_utc,ts_end,dry_run,activo,direccion_implicita,ask_implicita,gate_confirmado,gate_motivo,ratio_vs_stake,vwap_fill_estimado,t_lectura_ms,t_firma_ms,t_total_ms,disparado,order_ok,order_error
2026-09-05T18:44:58+00:00,1788633900,True,DOGE,Down,,False,sin_ask,,,55.7,,,,,
2026-09-05T18:44:58+00:00,1788633900,True,BNB,Down,0.01,False,ninguno_confirma,21.5,0.01,56.0,,,,,
2026-09-05T18:49:58+00:00,1788634200,True,BTC,Down,,False,sin_ask,,,67.2,,,,,
2026-09-05T18:49:58+00:00,1788634200,True,ETH,Down,,False,sin_ask,,,58.9,,,,,
2026-09-05T18:49:58+00:00,1788634200,True,SOL,Down,,False,sin_ask,,,62.0,,,,,
2026-09-05T18:49:58+00:00,1788634200,True,XRP,Down,,False,sin_ask,,,65.0,,,,,
2026-09-05T18:49:58+00:00,1788634200,True,DOGE,Up,,False,sin_ask,,,59.8,,,,,
2026-09-05T18:49:58+00:00,1788634200,True,BNB,Down,,False,sin_ask,,,67.6,,,,,
2026-09-05T18:54:58+00:00,1788634500,True,BTC,Up,,False,sin_ask,,,70.1,,,,,
2026-09-05T18:54:58+00:00,1788634500,True,ETH,Up,,False,sin_ask,,,51.6,,,,,
2026-09-05T18:54:58+00:00,1788634500,True,SOL,Up,,False,sin_ask,,,61.1,,,,,
2026-09-05T18:54:58+00:00,1788634500,True,XRP,Down,,False,sin_ask,,,58.3,,,,,
2026-09-05T18:54:58+00:00,1788634500,True,DOGE,Down,,False,sin_ask,,,55.2,,,,,
2026-09-05T18:54:58+00:00,1788634500,True,BNB,Down,,False,sin_ask,,,58.5,,,,,
2026-09-05T18:59:58+00:00,1788634800,True,BTC,Up,,False,sin_ask,,,63.9,,,,,
2026-09-05T18:59:58+00:00,1788634800,True,ETH,Up,,False,sin_ask,,,64.0,,,,,
2026-09-05T18:59:58+00:00,1788634800,True,SOL,Up,,False,sin_ask,,,124.4,,,,,
2026-09-05T18:59:58+00:00,1788634800,True,XRP,Up,0.05,False,ninguno_confirma,5.3,0.05,81.5,,,,,
2026-09-05T18:59:58+00:00,1788634800,True,DOGE,Up,,False,sin_ask,,,73.0,,,,,
2026-09-05T18:59:58+00:00,1788634800,True,BNB,Up,,False,sin_ask,,,81.7,,,,,
2026-09-05T19:04:58+00:00,1788635100,True,BTC,Down,,False,sin_ask,,,63.7,,,,,
2026-09-05T19:04:58+00:00,1788635100,True,ETH,Down,,False,sin_ask,,,61.0,,,,,
2026-09-05T19:04:58+00:00,1788635100,True,SOL,Down,,False,sin_ask,,,62.9,,,,,
