ts_deteccion_utc,ts_prediccion_utc,market_id,strategy,activo,marco,decision,precio_yes_mercado,bot_consenso_lado,bot_consenso_n,bot_consenso_pct,mejor_ask_deteccion,profundidad_eur_deteccion,ratio_vs_stake_deteccion,sigue_fillable,decision_dry_run
2026-09-10T12:07:44+00:00,2026-09-10T12:07:29+00:00,4404788,MOMENTUM_IBS_5M_BALLENA,SOL,5min,BUY_NO,0.53,Down,17,0.7059,0.75,0.0,0.0,0,NO_dispara_sin_libro
2026-09-10T12:22:50+00:00,2026-09-10T12:22:43+00:00,4404863,MOMENTUM_IBS_5M_BALLENA,SOL,5min,BUY_NO,0.61,Down,12,0.6667,0.51,0.0,0.0,0,NO_dispara_sin_libro
2026-09-10T12:31:37+00:00,2026-09-10T12:31:11+00:00,4404952,MOMENTUM_IBS_15M_BALLENA,SOL,15min,BUY_NO,0.5,Down,18,0.5,0.59,0.0,0.0,0,NO_dispara_sin_libro
2026-09-10T12:46:23+00:00,2026-09-10T12:46:23+00:00,4405083,MOMENTUM_IBS_5M_BALLENA,SOL,5min,BUY_YES,0.36,Up,6,0.5,0.13,498.23,474.5,1,DISPARARIA
2026-09-10T12:56:41+00:00,2026-09-10T12:56:34+00:00,4405610,MOMENTUM_IBS_5M_BALLENA,SOL,5min,BUY_YES,0.37,Up,20,0.75,0.44,0.0,0.0,0,NO_dispara_sin_libro
2026-09-10T13:52:20+00:00,2026-09-10T13:51:57+00:00,4407392,MOMENTUM_IBS_5M_BALLENA,SOL,5min,BUY_NO,0.5,Down,9,0.7778,0.86,0.0,0.0,0,NO_dispara_sin_libro
2026-09-10T14:07:03+00:00,2026-09-10T14:06:28+00:00,4407541,MOMENTUM_IBS_5M_BALLENA,SOL,5min,BUY_NO,0.495,Down,8,0.625,0.92,0.0,0.0,0,NO_dispara_sin_libro
2026-09-10T14:10:31+00:00,2026-09-10T14:10:04+00:00,4407524,MOMENTUM_IBS_15M_BALLENA,BNB,15min,BUY_NO,0.5,Down,3,1.0,0.97,0.0,0.0,0,NO_dispara_sin_libro
2026-09-10T14:16:32+00:00,2026-09-10T14:16:01+00:00,4407918,MOMENTUM_IBS_5M_BALLENA,SOL,5min,BUY_NO,0.5,Down,8,0.75,0.89,0.0,0.0,0,NO_dispara_sin_libro
2026-09-10T14:36:38+00:00,2026-09-10T14:36:25+00:00,4408396,MOMENTUM_IBS_5M_BALLENA,SOL,5min,BUY_NO,0.66,Down,12,0.5833,0.41,0.0,0.0,0,NO_dispara_sin_libro
2026-09-10T14:41:08+00:00,2026-09-10T14:41:08+00:00,4409118,MOMENTUM_IBS_5M_BALLENA,SOL,5min,BUY_NO,0.62,Down,3,0.6667,0.31,370.82,353.2,1,DISPARARIA
2026-09-10T15:02:30+00:00,2026-09-10T15:02:27+00:00,4409172,MOMENTUM_IBS_15M_BALLENA,SOL,15min,BUY_YES,0.17,Up,4,0.75,0.16,0.8,0.8,0,NO_dispara_sin_libro
2026-09-10T15:10:31+00:00,2026-09-10T15:10:05+00:00,4409183,MOMENTUM_IBS_15M_BALLENA,BNB,15min,BUY_YES,0.49,Up,3,0.6667,0.7,0.0,0.0,0,NO_dispara_sin_libro
2026-09-10T15:16:37+00:00,2026-09-10T15:16:31+00:00,4409447,MOMENTUM_IBS_5M_BALLENA,SOL,5min,BUY_NO,0.74,Down,6,0.6667,0.3,0.0,0.0,0,NO_dispara_sin_libro
2026-09-10T15:20:41+00:00,2026-09-10T15:20:16+00:00,4409597,MOMENTUM_IBS_5M_BALLENA,SOL,5min,BUY_NO,0.505,Down,4,0.75,0.7,0.0,0.0,0,NO_dispara_sin_libro
2026-09-10T15:27:12+00:00,2026-09-10T15:26:44+00:00,4410227,MOMENTUM_IBS_5M_BALLENA,SOL,5min,BUY_NO,0.5,Down,10,0.8,0.9,0.0,0.0,0,NO_dispara_sin_libro
2026-09-10T15:38:13+00:00,2026-09-10T15:37:48+00:00,4410605,MOMENTUM_IBS_15M_BALLENA,SOL,15min,BUY_YES,0.555,Up,6,0.5,0.98,0.0,0.0,0,NO_dispara_sin_libro
2026-09-10T15:50:45+00:00,2026-09-10T15:50:40+00:00,4411816,MOMENTUM_IBS_15M_BALLENA,BNB,15min,BUY_NO,0.41,Down,3,0.6667,0.63,0.0,0.0,0,NO_dispara_sin_libro
2026-09-10T15:55:16+00:00,2026-09-10T15:54:56+00:00,4412314,MOMENTUM_IBS_5M_BALLENA,SOL,5min,BUY_NO,0.5,Down,4,0.75,0.56,0.0,0.0,0,NO_dispara_sin_libro
2026-09-10T16:19:05+00:00,2026-09-10T16:18:51+00:00,4412781,MOMENTUM_IBS_5M_BALLENA,SOL,5min,BUY_YES,0.01,Up,11,0.8182,0.01,16.55,15.8,1,DISPARARIA
2026-09-10T16:35:12+00:00,2026-09-10T16:34:32+00:00,4413082,MOMENTUM_IBS_5M_BALLENA,SOL,5min,BUY_NO,0.5,Down,3,1.0,0.74,0.0,0.0,0,NO_dispara_sin_libro
2026-09-10T17:15:16+00:00,2026-09-10T17:14:51+00:00,4414032,MOMENTUM_IBS_5M_BALLENA,SOL,5min,BUY_YES,0.505,Up,3,0.6667,0.51,144.37,137.5,1,DISPARARIA
2026-09-10T18:05:32+00:00,2026-09-10T18:04:59+00:00,4416094,MOMENTUM_IBS_15M_BALLENA,SOL,15min,BUY_NO,0.495,Down,3,1.0,0.96,0.0,0.0,0,NO_dispara_sin_libro
2026-09-10T18:05:32+00:00,2026-09-10T18:04:59+00:00,4416179,MOMENTUM_IBS_5M_BALLENA,SOL,5min,BUY_NO,0.505,Down,3,1.0,0.73,0.0,0.0,0,NO_dispara_sin_libro
2026-09-10T18:10:37+00:00,2026-09-10T18:10:07+00:00,4416187,MOMENTUM_IBS_5M_BALLENA,SOL,5min,BUY_NO,0.505,Down,5,1.0,0.74,0.0,0.0,0,NO_dispara_sin_libro
2026-09-10T18:15:38+00:00,2026-09-10T18:15:09+00:00,4416388,MOMENTUM_IBS_5M_BALLENA,SOL,5min,BUY_NO,0.505,Down,12,0.5833,0.63,0.0,0.0,0,NO_dispara_sin_libro
2026-09-10T18:45:18+00:00,2026-09-10T18:44:49+00:00,4417238,MOMENTUM_IBS_5M_BALLENA,SOL,5min,BUY_YES,0.5,Up,4,1.0,0.55,0.0,0.0,0,NO_dispara_sin_libro
2026-09-10T18:56:20+00:00,2026-09-10T18:56:07+00:00,4418070,MOMENTUM_IBS_5M_BALLENA,SOL,5min,BUY_YES,0.6,Up,8,0.875,0.72,0.0,0.0,0,NO_dispara_sin_libro
2026-09-10T19:02:23+00:00,2026-09-10T19:02:09+00:00,4418114,MOMENTUM_IBS_5M_BALLENA,SOL,5min,BUY_YES,0.37,Up,6,0.8333,0.24,323.17,307.8,1,DISPARARIA
2026-09-10T19:06:25+00:00,2026-09-10T19:05:49+00:00,4418103,MOMENTUM_IBS_5M_BALLENA,SOL,5min,BUY_NO,0.495,Down,4,0.75,0.83,0.0,0.0,0,NO_dispara_sin_libro
2026-09-10T19:21:59+00:00,2026-09-10T19:21:54+00:00,4418605,MOMENTUM_IBS_5M_BALLENA,SOL,5min,BUY_YES,0.29,Up,5,1.0,0.67,0.0,0.0,0,NO_dispara_sin_libro
