evento_timestamp_utc,market_id,strategy,subtype,direction,precio_original,stake_eur,ratio_original,precio_contrario,muestras_json,ratio_contrario_inicial,ratio_contrario_max,ratio_contrario_min
2026-08-14T12:22:01+00:00,3563874,FAVORITO_CONFIRMADO_5MIN_ALTACONVICCION,BNB#5min,BUY_YES,0.73,1.05,148.6,0.27,"[[0.0,0.0,0.35],[5.1,22.3,0.26],[10.2,32.3,0.18],[15.3,55.1,0.16],[20.5,56.9,0.14],[25.6,61.2,0.13]]",0.0,61.2,0.0
2026-08-14T12:22:01+00:00,3563873,FAVORITO_CONFIRMADO_5MIN_ALTACONVICCION,DOGE#5min,BUY_YES,0.72,1.05,183.7,0.28,"[[0.0,0.0,0.52],[5.1,0.0,0.36],[10.2,1.5,0.26],[15.4,3.7,0.25],[20.6,7.3,0.24],[25.7,1.3,0.23]]",0.0,7.3,0.0
2026-08-14T12:22:01+00:00,3563875,FAVORITO_CONFIRMADO_5MIN_ALTACONVICCION,ETH#5min,BUY_YES,0.7,1.05,1177.8,0.3,"[[0.0,0.0,0.5],[5.1,0.0,0.48],[10.2,0.0,0.36],[15.4,62.9,0.28],[20.6,84.8,0.28],[25.7,98.8,0.26]]",0.0,98.8,0.0
2026-08-14T12:22:02+00:00,3563849,GBM_LATE_15M_TARDIO,SOL#15min,BUY_YES,0.535,1.05,200.9,0.465,"[[0.0,0.0,0.52],[5.1,0.0,0.5],[10.2,257.9,0.42],[15.4,341.3,0.38],[20.6,361.8,0.35],[25.7,456.2,0.35]]",0.0,456.2,0.0
2026-08-14T12:22:00+00:00,3563869,FAVORITO_CONFIRMADO_5MIN_ALTACONVICCION,SOL#5min,BUY_YES,0.76,1.05,412.8,0.24,"[[0.0,0.0,0.42],[5.1,0.0,0.4],[10.2,0.0,0.31],[15.4,15.6,0.21],[20.6,48.1,0.19],[25.7,65.6,0.19]]",0.0,65.6,0.0
2026-08-14T12:22:05+00:00,3563859,FAVORITO_CONFIRMADO,BTC#15min,BUY_YES,0.645,1.05,2171.0,0.355,"[[0.0,0.0,0.38],[5.1,0.0,0.38],[10.2,1290.9,0.28],[15.4,1584.0,0.27],[20.5,1974.9,0.27],[25.7,1196.3,0.26]]",0.0,1974.9,0.0
2026-08-14T12:22:04+00:00,3563855,GBM_LATE_15M_PYCONFIRMADO,ETH#15min,BUY_YES,0.655,1.05,895.9,0.345,"[[0.0,0.0,0.43],[5.1,0.0,0.42],[10.2,206.2,0.33],[15.4,266.0,0.31],[20.6,320.9,0.29],[25.8,347.3,0.28]]",0.0,347.3,0.0
2026-08-14T12:22:03+00:00,3563855,GBM_LATE_15M_TARDIO,ETH#15min,BUY_YES,0.655,1.05,857.0,0.345,"[[0.0,0.0,0.43],[5.2,0.0,0.42],[10.3,206.2,0.33],[15.5,266.0,0.31],[20.6,320.9,0.29],[25.8,345.5,0.28]]",0.0,345.5,0.0
2026-08-14T12:22:04+00:00,3563859,GBM_LATE_15M,BTC#15min,BUY_YES,0.645,1.05,687.7,0.355,"[[0.0,0.0,0.38],[5.2,0.0,0.38],[10.3,1290.9,0.28],[15.5,1584.0,0.27],[20.6,1744.7,0.27],[25.9,1941.8,0.26]]",0.0,1941.8,0.0
2026-08-14T12:22:05+00:00,3563869,STREAK_MOM_5M,SOL#5min,BUY_NO,0.505,1.05,267.6,0.495,"[[0.0,0.0,0.63],[5.1,0.0,0.61],[10.2,0.0,0.77],[15.4,0.0,0.83],[20.6,0.0,0.82],[25.8,0.0,0.82]]",0.0,0.0,0.0
2026-08-14T12:26:03+00:00,3563849,UPDOWN_GBM_15M_TARDIO,SOL#15min,BUY_NO,0.06,1.05,38.1,0.94,"[[0.0,42.0,0.98],[5.5,14.0,0.98],[10.8,14.0,0.98],[15.9,14.0,0.98],[21.1,14.0,0.98],[26.3,0.0,0.99]]",42.0,42.0,0.0
2026-08-14T12:26:05+00:00,3563965,FAVORITO_CONFIRMADO,BTC#5min,BUY_YES,0.58,1.05,1016.8,0.42,"[[0.0,244.6,0.44],[5.2,434.0,0.4],[10.3,584.4,0.4],[15.3,615.2,0.4],[20.6,1213.4,0.32],[25.8,1816.9,0.28]]",244.6,1816.9,244.6
2026-08-14T12:26:05+00:00,3563966,FAVORITO_CONFIRMADO,ETH#5min,BUY_YES,0.68,1.05,1178.7,0.32,"[[0.0,0.0,0.47],[5.2,0.0,0.39],[10.3,0.0,0.34],[15.4,0.0,0.34],[20.8,167.7,0.28],[25.9,239.7,0.28]]",0.0,239.7,0.0
2026-08-14T12:26:04+00:00,3563970,FAVORITO_CONFIRMADO,DOGE#5min,BUY_YES,0.7,1.05,104.1,0.3,"[[0.0,0.0,0.68],[5.2,0.0,0.62],[10.3,0.0,0.6],[15.4,0.0,0.6],[20.7,0.0,0.46],[25.9,0.0,0.43]]",0.0,0.0,0.0
2026-08-14T12:26:06+00:00,3563970,FAVORITO_CONFIRMADO_5MIN_ALTACONVICCION,DOGE#5min,BUY_YES,0.7,1.05,94.3,0.3,"[[0.0,0.0,0.68],[5.2,0.0,0.62],[10.2,0.0,0.6],[15.3,0.0,0.6],[20.7,0.0,0.46],[25.9,0.0,0.43]]",0.0,0.0,0.0
2026-08-14T12:26:04+00:00,3563972,FAVORITO_CONFIRMADO,XRP#5min,BUY_YES,0.59,1.05,274.1,0.41,"[[0.0,0.0,0.71],[5.2,0.0,0.72],[10.3,0.0,0.7],[15.4,0.0,0.7],[20.8,0.0,0.66],[25.9,0.0,0.59]]",0.0,0.0,0.0
2026-08-14T12:26:06+00:00,3563968,FAVORITO_CONFIRMADO_5MIN_ALTACONVICCION,BNB#5min,BUY_YES,0.7,1.05,152.0,0.3,"[[0.0,0.0,0.67],[5.2,0.0,0.68],[10.3,0.0,0.66],[15.4,0.0,0.65],[20.8,0.0,0.65],[25.9,0.0,0.64]]",0.0,0.0,0.0
2026-08-14T12:26:08+00:00,3563971,FAVORITO_CONFIRMADO_5MIN_ALTACONVICCION,SOL#5min,BUY_YES,0.7,1.05,203.0,0.3,"[[0.0,0.0,0.33],[5.1,0.0,0.39],[10.2,0.0,0.4],[15.2,0.0,0.39],[20.5,35.3,0.21],[25.6,72.9,0.21]]",0.0,72.9,0.0
2026-08-14T12:26:09+00:00,3563966,FAVORITO_CONFIRMADO_5MIN_ALTACONVICCION,ETH#5min,BUY_YES,0.7,1.05,1471.2,0.3,"[[0.0,0.0,0.38],[5.2,0.0,0.36],[10.3,0.0,0.35],[15.6,0.0,0.37],[20.8,256.6,0.23],[26.0,196.5,0.28]]",0.0,256.6,0.0
2026-08-14T12:26:12+00:00,3563849,FAVORITO_CONFIRMADO_SOL_ALTACONVICCION,SOL#15min,BUY_YES,0.935,1.05,14.0,0.065,"[[0.0,20.9,0.03],[5.1,26.9,0.03],[10.2,26.7,0.03],[15.6,31.9,0.02],[20.7,47.7,0.02],[25.9,47.1,0.02]]",20.9,47.7,20.9
2026-08-14T12:26:14+00:00,3563858,GBM_LATE_15M_TARDIO,XRP#15min,BUY_YES,0.515,1.05,171.6,0.485,"[[0.0,0.0,0.76],[5.1,0.0,0.77],[10.5,0.0,0.77],[15.7,0.0,0.63],[20.8,0.0,0.63],[25.9,0.0,0.63]]",0.0,0.0,0.0
2026-08-14T12:26:15+00:00,3563858,GBM_LATE_15M_ESPACIO_ATR,XRP#15min,BUY_YES,0.515,1.05,171.6,0.485,"[[0.0,0.0,0.76],[5.1,0.0,0.77],[10.5,0.0,0.77],[15.7,0.0,0.63],[20.8,0.0,0.63],[26.0,0.0,0.63]]",0.0,0.0,0.0
2026-08-14T12:26:52+00:00,3563972,FAVORITO_CONFIRMADO_5MIN_BAJALATENCIA,XRP#5min,BUY_NO,0.56,1.05,109.6,0.44,"[[0.0,0.0,0.57],[5.2,0.0,0.53],[10.3,22.2,0.43],[15.6,46.6,0.37],[20.7,140.3,0.23],[25.9,92.0,0.23]]",0.0,140.3,0.0
2026-08-14T12:26:52+00:00,3563965,FAVORITO_CONFIRMADO_5MIN_ALTACONVICCION,BTC#5min,BUY_YES,0.71,1.05,268.3,0.29,"[[0.0,297.7,0.27],[5.4,30.1,0.29],[10.8,0.0,0.35],[16.0,0.0,0.63],[21.1,0.0,0.69],[26.4,0.0,0.7]]",297.7,297.7,0.0
2026-08-14T12:26:53+00:00,3563970,FAVORITO_CONFIRMADO_5MIN_BAJALATENCIA,DOGE#5min,BUY_NO,0.59,1.05,8.0,0.41,"[[0.0,0.0,0.59],[5.2,0.0,0.59],[10.7,0.0,0.51],[16.0,34.2,0.31],[21.1,28.2,0.26],[26.5,36.6,0.24]]",0.0,36.6,0.0
2026-08-14T12:30:37+00:00,3538301,FAVORITO_CONFIRMADO,BTC#60min,BUY_YES,0.57,1.05,1979.9,0.43,"[[0.0,0.0,0.53],[5.3,0.0,0.57],[10.8,0.0,0.57],[16.1,0.0,0.57],[21.4,0.0,0.56],[26.6,0.0,0.57]]",0.0,0.0,0.0
2026-08-14T12:31:08+00:00,3563990,FAVORITO_CONFIRMADO,SOL#5min,BUY_YES,0.6,1.05,442.8,0.4,"[[0.0,0.0,0.59],[5.3,0.0,0.58],[10.6,0.0,0.7],[16.2,19.5,0.41],[21.5,151.9,0.31],[26.8,180.3,0.23]]",0.0,180.3,0.0
