ts_utc,market_id,strategy,direction,entry_price,stake_eur,precio_lado,precio_yes,precio_no,seg_desde_entrada,seg_hasta_fin,valor_salida_eur,pnl_salida_eur,mkt_closed
2026-07-10T23:41:01Z,2865092,GBM_LATE_15M,BUY_YES,0.41,1.05,0.615,0.615,0.385,392,238,1.575,0.525,0
2026-07-10T23:42:02Z,2865092,GBM_LATE_15M,BUY_YES,0.41,1.05,0.615,0.615,0.385,452,178,1.575,0.525,0
2026-07-10T23:43:01Z,2865092,GBM_LATE_15M,BUY_YES,0.41,1.05,0.615,0.615,0.385,511,119,1.575,0.525,0
2026-07-10T23:44:01Z,2865092,GBM_LATE_15M,BUY_YES,0.41,1.05,0.615,0.615,0.385,571,59,1.575,0.525,0
2026-07-10T23:45:01Z,2865092,GBM_LATE_15M,BUY_YES,0.41,1.05,0.615,0.615,0.385,632,-2,1.575,0.525,0
2026-07-10T23:46:01Z,2865092,GBM_LATE_15M,BUY_YES,0.41,1.05,0.95,0.95,0.05,692,-62,2.4329,1.3829,0
2026-07-10T23:47:02Z,2865092,GBM_LATE_15M,BUY_YES,0.41,1.05,0.95,0.95,0.05,752,-122,2.4329,1.3829,0
2026-07-10T23:48:01Z,2865092,GBM_LATE_15M,BUY_YES,0.41,1.05,0.95,0.95,0.05,812,-182,2.4329,1.3829,0
2026-07-10T23:49:01Z,2865092,GBM_LATE_15M,BUY_YES,0.41,1.05,0.95,0.95,0.05,872,-242,2.4329,1.3829,0
2026-07-10T23:50:01Z,2865092,GBM_LATE_15M,BUY_YES,0.41,1.05,0.95,0.95,0.05,931,-301,2.4329,1.3829,0
2026-07-11T13:04:01Z,2870249,GBM_LATE_15M,BUY_YES,0.49,1.05,0.35,0.35,0.65,27,659,0.75,-0.3,0
2026-07-11T13:05:01Z,2870249,GBM_LATE_15M,BUY_YES,0.49,1.05,0.35,0.35,0.65,87,599,0.75,-0.3,0
2026-07-11T13:06:02Z,2870249,GBM_LATE_15M,BUY_YES,0.49,1.05,0.35,0.35,0.65,148,538,0.75,-0.3,0
2026-07-11T13:07:01Z,2870249,GBM_LATE_15M,BUY_YES,0.49,1.05,0.35,0.35,0.65,207,479,0.75,-0.3,0
2026-07-11T13:08:01Z,2870249,GBM_LATE_15M,BUY_YES,0.49,1.05,0.285,0.285,0.715,268,418,0.6107,-0.4393,0
2026-07-11T13:09:02Z,2870249,GBM_LATE_15M,BUY_YES,0.49,1.05,0.285,0.285,0.715,328,358,0.6107,-0.4393,0
2026-07-11T13:10:02Z,2870249,GBM_LATE_15M,BUY_YES,0.49,1.05,0.285,0.285,0.715,388,298,0.6107,-0.4393,0
2026-07-11T13:11:01Z,2870249,GBM_LATE_15M,BUY_YES,0.49,1.05,0.285,0.285,0.715,448,238,0.6107,-0.4393,0
2026-07-11T13:12:01Z,2870249,GBM_LATE_15M,BUY_YES,0.49,1.05,0.285,0.285,0.715,508,178,0.6107,-0.4393,0
2026-07-11T13:13:01Z,2870249,GBM_LATE_15M,BUY_YES,0.49,1.05,0.375,0.375,0.625,567,119,0.8036,-0.2464,0
2026-07-11T13:14:01Z,2870249,GBM_LATE_15M,BUY_YES,0.49,1.05,0.375,0.375,0.625,628,58,0.8036,-0.2464,0
2026-07-11T13:15:02Z,2870249,GBM_LATE_15M,BUY_YES,0.49,1.05,0.375,0.375,0.625,688,-2,0.8036,-0.2464,0
2026-07-11T13:16:01Z,2870249,GBM_LATE_15M,BUY_YES,0.49,1.05,0.375,0.375,0.625,748,-62,0.8036,-0.2464,0
2026-07-11T13:17:01Z,2870249,GBM_LATE_15M,BUY_YES,0.49,1.05,0.375,0.375,0.625,808,-122,0.8036,-0.2464,0
2026-07-11T13:18:01Z,2870249,GBM_LATE_15M,BUY_YES,0.49,1.05,0.995,0.995,0.005,868,-182,2.1321,1.0821,0
2026-07-11T13:36:01Z,2870412,GBM_LATE_15M,BUY_YES,0.48,2.7504,0.86,0.86,0.14,44,538,4.9278,2.1774,0
2026-07-11T13:36:01Z,2870418,GBM_LATE_15M,BUY_YES,0.48,2.7504,0.89,0.89,0.11,20,538,5.0997,2.3493,0
2026-07-11T13:37:01Z,2870412,GBM_LATE_15M,BUY_YES,0.48,2.7504,0.86,0.86,0.14,103,479,4.9278,2.1774,0
2026-07-11T13:37:01Z,2870418,GBM_LATE_15M,BUY_YES,0.48,2.7504,0.89,0.89,0.11,79,479,5.0997,2.3493,0
2026-07-11T13:38:01Z,2870412,GBM_LATE_15M,BUY_YES,0.48,2.7504,0.86,0.86,0.14,164,418,4.9278,2.1774,0
2026-07-11T13:38:01Z,2870418,GBM_LATE_15M,BUY_YES,0.48,2.7504,0.89,0.89,0.11,140,418,5.0997,2.3493,0
2026-07-11T13:39:01Z,2870412,GBM_LATE_15M,BUY_YES,0.48,2.7504,0.52,0.52,0.48,224,358,2.9796,0.2292,0
2026-07-11T13:39:01Z,2870418,GBM_LATE_15M,BUY_YES,0.48,2.7504,0.825,0.825,0.175,200,358,4.7272,1.9768,0
2026-07-11T13:40:01Z,2870412,GBM_LATE_15M,BUY_YES,0.48,2.7504,0.52,0.52,0.48,284,298,2.9796,0.2292,0
2026-07-11T13:40:01Z,2870418,GBM_LATE_15M,BUY_YES,0.48,2.7504,0.825,0.825,0.175,260,298,4.7272,1.9768,0
2026-07-11T13:41:02Z,2870412,GBM_LATE_15M,BUY_YES,0.48,2.7504,0.52,0.52,0.48,344,238,2.9796,0.2292,0
2026-07-11T13:41:02Z,2870418,GBM_LATE_15M,BUY_YES,0.48,2.7504,0.825,0.825,0.175,320,238,4.7272,1.9768,0
2026-07-11T13:42:01Z,2870412,GBM_LATE_15M,BUY_YES,0.48,2.7504,0.52,0.52,0.48,404,178,2.9796,0.2292,0
2026-07-11T13:42:01Z,2870418,GBM_LATE_15M,BUY_YES,0.48,2.7504,0.825,0.825,0.175,380,178,4.7272,1.9768,0
2026-07-11T13:43:02Z,2870412,GBM_LATE_15M,BUY_YES,0.48,2.7504,0.52,0.52,0.48,464,118,2.9796,0.2292,0
2026-07-11T13:43:02Z,2870418,GBM_LATE_15M,BUY_YES,0.48,2.7504,0.825,0.825,0.175,440,118,4.7272,1.9768,0
2026-07-11T13:44:01Z,2870412,GBM_LATE_15M,BUY_YES,0.48,2.7504,0.195,0.195,0.805,524,58,1.1174,-1.633,0
2026-07-11T13:44:01Z,2870418,GBM_LATE_15M,BUY_YES,0.48,2.7504,0.605,0.605,0.395,500,58,3.4667,0.7163,0
2026-07-11T13:45:02Z,2870412,GBM_LATE_15M,BUY_YES,0.48,2.7504,0.195,0.195,0.805,584,-2,1.1174,-1.633,0
2026-07-11T13:45:02Z,2870418,GBM_LATE_15M,BUY_YES,0.48,2.7504,0.605,0.605,0.395,560,-2,3.4667,0.7163,0
2026-07-11T13:46:01Z,2870412,GBM_LATE_15M,BUY_YES,0.48,2.7504,0.195,0.195,0.805,644,-62,1.1174,-1.633,0
2026-07-11T13:46:01Z,2870418,GBM_LATE_15M,BUY_YES,0.48,2.7504,0.605,0.605,0.395,620,-62,3.4667,0.7163,0
2026-07-11T13:47:01Z,2870412,GBM_LATE_15M,BUY_YES,0.48,2.7504,0.195,0.195,0.805,704,-122,1.1174,-1.633,0
2026-07-11T13:47:01Z,2870418,GBM_LATE_15M,BUY_YES,0.48,2.7504,0.605,0.605,0.395,680,-122,3.4667,0.7163,0
2026-07-11T13:48:01Z,2870412,GBM_LATE_15M,BUY_YES,0.48,2.7504,0.195,0.195,0.805,764,-182,1.1174,-1.633,0
2026-07-11T13:48:01Z,2870418,GBM_LATE_15M,BUY_YES,0.48,2.7504,0.605,0.605,0.395,740,-182,3.4667,0.7163,0
2026-07-11T13:53:02Z,2870534,GBM_LATE_15M,BUY_YES,0.47,2.7495,0.565,0.565,0.435,1,418,3.3052,0.5557,0
