timestamp_utc,rank_combined,address,username,pnl,vol,rank_pnl,rank_vol,score,verified_badge,x_username
2026-06-19T10:20:27+00:00,30,0xfea31bc088000ff909be1dfd8d0e3f2c7ef2d227,ndb1,49035.75264673339,8849341.657066,41,22,0.332,False,
2026-06-19T10:20:27+00:00,31,0x08fff5b9a79576a7c6e18a9d05ece0658a34ba79,krazyagain,27.47272767600039,16464929.029684,,9,0.328,False,overseaswtf
2026-06-19T10:20:27+00:00,32,0xdf7930e89a2c47560165331863c31deca0733dcd,std0,46374.31508502251,10593890.002099998,45,18,0.316,False,
2026-06-19T10:20:27+00:00,33,0xc8ab97a9089a9ff7e6ef0688e6e591a066946418,ArmageddonRewardsBilly,72774.01814180698,1197268.3803200002,24,,0.312,False,Eltonma
2026-06-19T10:20:27+00:00,34,0x4099db7f2d394449ccf89c8d42260ecaf1d79fb8,PowellTheKing,44756.377738,12582679.549623,48,14,0.312,False,
2026-06-19T10:20:27+00:00,35,0x04b6d7e930cf9e493c5e6ef24b496294f95594c8,0x04b6D7E930cf9e493c5E6eF24B496294F95594C8-1774448369789,33190.35125111765,14544433.474377,,12,0.304,False,
2026-06-19T10:20:27+00:00,36,0xde7be6d489bce070a959e0cb813128ae659b5f4b,wan123,72297.58119841,643983.673318,25,,0.3,False,
2026-06-19T10:20:27+00:00,37,0xb10047d6a254b2ebb306d7a7d13bf59171ab6461,Parz1vaI,67757.70204124397,1638913.8891290005,26,,0.288,False,Parz1valPM
2026-06-19T10:20:27+00:00,38,0x1521b47bf0c41f6b7fd3ad41cdec566812c8f23e,alliswell,4680.923807999999,12580175.942299,,15,0.28,False,
2026-06-19T10:20:27+00:00,39,0x31393e2f8333d4a6e2e31ca6424defe8b6cb9e2e,hot-garbage,51080.08691485177,6862838.145372001,38,34,0.272,False,
2026-06-19T10:20:27+00:00,40,0x76d4d4703add6e94cfdb1107f3d991d85ff2c512,,-24753.0982291487,12197875.361449001,,16,0.272,False,
2026-06-19T10:20:27+00:00,41,0xa6d9b55a6a3a54a9d50ca94c64f00af69c50fd2f,kinderSman,63737.56038570287,535443.483388,28,,0.264,False,kinderSman
2026-06-19T10:20:27+00:00,42,0x9097b9fd27dd69aa8170e1b16f1b8b839ad70ef0,kahanetzadak,-21984.653357296826,12010828.932663996,,17,0.264,False,
2026-06-19T10:20:27+00:00,43,0x927f7694de44d19a72bce76254e628d1c141d215,baloneigh,62088.36059969307,2582867.456963,29,,0.252,False,
2026-06-19T10:20:27+00:00,44,0x997cda7b31612e3c394bfb55440619f3f689251e,coinfilippe,3629.5709638989065,9664484.784495,,19,0.248,False,
2026-06-19T10:20:27+00:00,45,0xf0d5eb1cbe7350f1f896ade6c172e6700414c665,yen4u,61812.16712366765,325655.7134639999,30,,0.24,False,
2026-06-19T10:20:27+00:00,46,0x45bc74efa620b45c02308acaecdff1f7c06f978b,poorersob,2050.724280513823,9327968.272508,,20,0.24,False,
2026-06-19T10:20:27+00:00,47,0xf3ce251f9c4ae0f3940a9f32de5dd1a1d05b8bc6,0xF3Ce251F9c4ae0f3940A9f32dE5Dd1A1d05B8Bc6-1778725794122,40291.64540929024,9288097.643999998,,21,0.232,False,
2026-06-19T10:20:27+00:00,48,0x10dd34c32ddbeff39219a509cb9a617d5afee5fc,0x10dd34C32DDBeff39219a509cB9a617D5AfeE5fc-1781142990471,61706.720578557586,264425.9195,31,,0.228,False,
2026-06-19T10:20:27+00:00,49,0xa8b202e6e9a4c2091b6860f1f5c9e9119bbc9a39,CongMingLabs,34979.661411,8679816.727438001,,24,0.208,False,CongMingLabs
2026-06-19T10:20:27+00:00,50,0x8cb0e35148f57403e8e785ed13c7bbb2f34f9811,Blablablablabla7,55203.548642,6058999.960750001,34,48,0.208,False,
2026-06-19T10:34:49+00:00,1,0xeebde7a0e019a63e6b476eb425505b7b3e6eba30,Bonereaper,185982.6366860899,37437370.807263,3,0,0.964,False,
2026-06-19T10:34:49+00:00,2,0xdf17f4a8dd01a4cfa6fc3da323a2baee5f8697d1,PatrocIus,125583.86366932145,31850759.941700004,8,1,0.896,False,
2026-06-19T10:34:49+00:00,3,0xb55fa1296e6ec55d0ce53d93b9237389f11764d4,0xb55fa1296E6ec55D0cE53d93B9237389f11764d4-1777575277609,152425.54327369982,15255773.902086003,6,10,0.848,False,
2026-06-19T10:34:49+00:00,4,0xee65685de42f8de9a03b4c53ee77d56a20d2cfc9,0x50f7,122775.98136927385,16468518.203918008,9,8,0.828,False,
2026-06-19T10:34:49+00:00,5,0xb27bc932bf8110d8f78e55da7d5f0497a18b5b82,,112792.35160466784,28117683.370585,13,2,0.828,False,
2026-06-19T10:34:49+00:00,6,0x06dc51826bc524d9a83770e7de9dd7e005b04524,0x06dc51826bc524d9a83770e7de9dd7e005b0452,110902.3879898474,24084166.205121994,14,3,0.808,False,
